,title,domestic_gross,year
2395,10 Cloverfield Lane,72100000,2016
3161,12 Strong,45800000,2018
1170,12 Years a Slave,56700000,2013
2418,13 Hours: The Secret Soldiers of Benghazi,52900000,2016
1183,2 Guns,75600000,2013
765,21 Jump Street,138400000,2012
1502,22 Jump Street,191700000,2014
1578,3 Days to Kill,30700000,2014
444,30 Minutes or Less,37100000,2011
1501,300: Rise of An Empire,106600000,2014
2866,47 Meters Down,44300000,2017
1178,47 Ronin,38400000,2013
448,50/50,35000000,2011
2821,A Bad Moms Christmas,72100000,2017
2803,A Dog's Purpose,64500000,2017
1150,A Good Day to Die Hard,67300000,2013
1226,A Haunted House,40000000,2013
1554,A Million Ways to Die in the West,43100000,2014
55,A Nightmare on Elm Street (2010),63100000,2010
3108,A Quiet Place,188000000,2018
3138,A Simple Favor,53500000,2018
3098,A Star is Born (2018),215300000,2018
454,A Very Harold & Kumar 3D Christmas,35100000,2011
1993,A Walk in the Woods,29500000,2015
3129,A Wrinkle in Time,100500000,2018
409,Abduction,28100000,2011
1582,About Last Night (2014),48600000,2014
787,Abraham Lincoln: Vampire Hunter,37500000,2012
806,Act of Valor,70000000,2012
3166,Adrift,31400000,2018
1160,After Earth,60500000,2013
1545,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",67000000,2014
2352,Alice Through the Looking Glass,77000000,2016
1,Alice in Wonderland (2010),334200000,2010
2798,Alien: Covenant,74300000,2017
2864,All Eyez on Me,44900000,2017
2388,Allied,40100000,2016
2440,Almost Christmas,42200000,2016
3137,Alpha,35900000,2018
346,Alvin and the Chipmunks: Chipwrecked,133100000,2011
1905,Alvin and the Chipmunks: The Road Chip,85900000,2015
2841,American Assassin,36200000,2017
1158,American Hustle,150100000,2013
2820,American Made,51300000,2017
761,American Reunion,57000000,2012
1489,American Sniper,350100000,2014
1173,Anchorman 2: The Legend Continues,125200000,2013
1508,Annabelle,84300000,2014
2789,Annabelle: Creation,102100000,2017
1531,Annie (2014),85900000,2014
1885,Ant-Man,180200000,2015
3089,Ant-Man and the Wasp,216600000,2018
3083,Aquaman,335100000,2018
762,Argo,136000000,2012
2364,Arrival,100500000,2016
437,Arthur (2011),33000000,2011
382,Arthur Christmas,46500000,2011
2355,Assassin's Creed,54600000,2016
2832,Atomic Blonde,51700000,2017
1214,August: Osage County,37700000,2013
1875,Avengers: Age of Ultron,459000000,2015
3079,Avengers: Infinity War,678800000,2018
2799,Baby Driver,107800000,2017
2366,Bad Moms,113300000,2016
356,Bad Teacher,100300000,2011
2427,Barbershop: The Next Cut,54000000,2016
2328,Batman v Superman: Dawn of Justice,330400000,2016
358,Battle: Los Angeles,83600000,2011
754,Battleship,65400000,2012
2809,Baywatch,58100000,2017
2759,Beauty and the Beast (2017),504000000,2017
819,Beauty and the Beast (3D),47600000,2012
1487,Big Hero 6,222500000,2014
408,"Big Mommas: Like Father, Like Son",37900000,2011
1543,Birdman,42300000,2014
3144,BlacKkKlansman,49300000,2018
1939,Black Mass,62600000,2015
3080,Black Panther,700100000,2018
16,Black Swan,107000000,2010
2793,Blade Runner 2049,92100000,2017
1532,Blended,46300000,2014
3142,Blockers,60300000,2018
1199,Blue Jasmine,33400000,2013
3084,Bohemian Rhapsody,216400000,2018
2414,Boo! A Madea Halloween,73200000,2016
3160,Book Club,68600000,2018
739,Brave,237300000,2012
3172,Breaking In (2018),46800000,2018
348,Bridesmaids,169100000,2011
1915,Bridge of Spies,72300000,2015
1960,Brooklyn,38300000,2015
3097,Bumblebee,127200000,2018
69,Burlesque,39400000,2010
2322,Captain America: Civil War,408100000,2016
344,Captain America: The First Avenger,176700000,2011
1483,Captain America: The Winter Soldier,259800000,2014
1164,Captain Phillips,107100000,2013
2822,Captain Underpants: The First Epic Movie,73900000,2017
1207,Carrie (2013),35300000,2013
337,Cars 2,191500000,2011
2781,Cars 3,152900000,2017
57,Cats & Dogs: The Revenge of Kitty Galore,43600000,2010
2360,Central Intelligence,127400000,2016
1937,Chappie,31600000,2015
108,Charlie St. Cloud,31200000,2010
1584,Chef,31400000,2014
844,Chimpanzee,29000000,2012
784,Chronicle (2012),64599999,2012
1883,Cinderella (2015),201200000,2015
10,Clash of the Titans (2010),163200000,2010
1154,Cloudy with a Chance of Meatballs 2,119800000,2013
2768,Coco,209700000,2017
2404,Collateral Beauty,31000000,2016
424,Colombiana,36700000,2011
1978,Concussion (2015),34500000,2015
386,Contagion,75700000,2011
797,Contraband,66500000,2012
99,Cop Out,44900000,2010
458,Courageous,34500000,2011
368,Cowboys & Aliens,100200000,2011
3116,Crazy Rich Asians,174500000,2018
384,"Crazy, Stupid, Love.",84400000,2011
1913,Creed,109800000,2015
3119,Creed II,115700000,2018
1952,Crimson Peak,31100000,2015
1903,Daddy's Home,150400000,2015
2807,Daddy's Home 2,104000000,2017
758,Dark Shadows,79700000,2012
2815,Darkest Hour,56500000,2017
47,Date Night,98700000,2010
1484,Dawn of the Planet of the Apes,208500000,2014
102,Daybreakers,30100000,2010
2330,Deadpool,363100000,2016
3087,Deadpool 2,318500000,2018
56,Dear John,80000000,2010
3187,Death Wish (2018),34000000,2018
106,Death at a Funeral (2010),42700000,2010
2387,Deepwater Horizon,61400000,2016
1553,Deliver Us From Evil,30600000,2014
1233,Delivery Man,30700000,2013
3150,Den of Thieves,44900000,2018
8,Despicable Me,251500000,2010
1129,Despicable Me 2,368100000,2013
2761,Despicable Me 3,264600000,2017
92,Devil,33600000,2010
80,Diary of a Wimpy Kid,64000000,2010
810,Diary of a Wimpy Kid: Dog Days,49000000,2012
417,Diary of a Wimpy Kid: Rodrick Rules,52700000,2011
71,Dinner for Schmucks,73000000,2010
2400,Dirty Grandpa,35600000,2016
3120,Disney's Christopher Robin,99200000,2018
1504,Divergent,150900000,2014
743,Django Unchained,162800000,2012
2332,Doctor Strange,232600000,2016
401,Dolphin Tale,72300000,2011
1574,Dolphin Tale 2,42000000,2014
2376,Don't Breathe,89200000,2016
3096,Dr. Seuss' The Grinch (2018),270600000,2018
748,Dr. Seuss' The Lorax,214000000,2012
1513,Dracula Untold,56300000,2014
1605,Draft Day,28800000,2014
412,Drive (2011),35100000,2011
35,Due Date,100500000,2010
1523,Dumb and Dumber To,86200000,2014
2776,Dunkirk,188000000,2017
1585,Earth to Echo,38900000,2014
81,Easy A,58400000,2010
36,Eat Pray Love,80600000,2010
75,Edge of Darkness,43300000,2010
1496,Edge of Tomorrow,100200000,2014
1152,Elysium,93100000,2013
831,End of Watch,41000000,2012
1186,Ender's Game,61700000,2013
1976,Entourage,32400000,2015
1156,Epic,107500000,2013
1213,Escape From Planet Earth,57000000,2013
1909,Everest (2015),43500000,2015
2849,"Everything, Everything",34100000,2017
1198,Evil Dead (2013),54200000,2013
1507,Exodus: Gods and Kings,65000000,2014
429,Extremely Loud & Incredibly Close,31800000,2011
2329,Fantastic Beasts and Where To Find Them,234000000,2016
3088,Fantastic Beasts: The Crimes of Grindelwald,159600000,2018
1914,Fantastic Four,56100000,2015
1132,Fast & Furious 6,238700000,2013
334,Fast Five,209800000,2011
2420,Fences,57700000,2016
2791,Ferdinand,84400000,2017
2782,Fifty Shades Darker,114600000,2017
3103,Fifty Shades Freed,100400000,2018
1882,Fifty Shades of Grey,166200000,2015
374,Final Destination 5,42600000,2011
2324,Finding Dory,486300000,2016
813,Finding Nemo (3D),41100000,2012
3135,First Man,44900000,2018
2872,Fist Fight,32200000,2017
773,Flight,93800000,2012
1916,Focus (2015),53900000,2015
422,Footloose (2011),51800000,2011
121,For Colored Girls,37700000,2010
805,Frankenweenie,35300000,2012
1192,Free Birds,55800000,2013
380,Friends with Benefits,55800000,2011
1127,Frozen,400700000,2013
1874,Furious 7,353000000,2015
1516,Fury (2014),85800000,2014
1144,G.I. Joe: Retaliation,122500000,2013
3133,Game Night,69200000,2018
1193,Gangster Squad,46000000,2013
2801,Geostorm,33700000,2017
1931,Get Hard,90400000,2015
68,Get Him to the Greek,61000000,2010
1600,Get On Up,30700000,2014
2794,Get Out,176000000,2017
781,Ghost Rider: Spirit of Vengeance,51800000,2012
2812,Ghost in the Shell (2017),40600000,2017
2358,Ghostbusters (2016),128400000,2016
2819,Girls Trip,115200000,2017
361,Gnomeo and Juliet,100000000,2011
1569,God's Not Dead,60800000,2014
2379,Gods of Egypt,31200000,2016
1490,Godzilla (2014),200700000,2014
2836,Going in Style (2017),45000000,2017
1497,Gone Girl,167800000,2014
1918,Goosebumps,80100000,2015
3143,Goosebumps 2: Haunted Halloween,46700000,2018
1134,Gravity,274100000,2013
3109,Green Book,85100000,2018
354,Green Lantern,116600000,2011
66,Green Zone,35100000,2010
27,Grown Ups,162000000,2010
1159,Grown Ups 2,133699999,2013
1243,Grudge Match,29800000,2013
1479,Guardians of the Galaxy,333200000,2014
2765,Guardians of the Galaxy Vol. 2,389800000,2017
30,Gulliver's Travels,42800000,2010
2370,Hacksaw Ridge,67200000,2016
2422,"Hail, Caesar!",30500000,2016
407,Hall Pass,45100000,2011
3115,Halloween (2018),159300000,2018
421,Hanna,40300000,2011
1163,Hansel and Gretel: Witch Hunters,55700000,2013
2823,Happy Death Day,55700000,2017
377,Happy Feet Two,64000000,2011
2,Harry Potter and the Deathly Hallows Part 1,296000000,2010
328,Harry Potter and the Deathly Hallows Part 2,381000000,2011
1546,Heaven is for Real,91400000,2014
1509,Hercules (2014),72700000,2014
812,Here Comes the Boom,45300000,2012
60,Hereafter,32700000,2010
3151,Hereditary,44100000,2018
2357,Hidden Figures,169600000,2016
3181,Holmes and Watson,30600000,2018
1890,Home (2015),177400000,2015
365,Hop,108100000,2011
789,Hope Springs,63500000,2012
359,Horrible Bosses,117500000,2011
1541,Horrible Bosses 2,54400000,2014
2880,Hostiles,29800000,2017
1972,Hot Pursuit,34600000,2015
91,Hot Tub Time Machine,50300000,2010
747,Hotel Transylvania,148300000,2012
1886,Hotel Transylvania 2,169700000,2015
3095,Hotel Transylvania 3: Summer Vacation,167500000,2018
834,House at the End of The Street,31600000,2012
107,How Do You Know,30200000,2010
2394,How to Be Single,46800000,2016
9,How to Train Your Dragon,217600000,2010
1488,How to Train Your Dragon 2,177000000,2014
2848,How to be a Latin Lover,32100000,2017
82,Hubble 3D,52400000,2010
363,Hugo,73900000,2011
378,I Am Number Four,55100000,2011
3141,I Feel Pretty,48800000,2018
2857,"I, Tonya",30000000,2017
2341,Ice Age: Collision Course,64099999,2016
731,Ice Age: Continental Drift,161300000,2012
1172,Identity Thief,134500000,2013
1559,If I Stay,50500000,2014
353,Immortals,83500000,2011
369,In Time,37500000,2011
3,Inception,292600000,2010
3082,Incredibles 2,608600000,2018
2342,Independence Day: Resurgence,103100000,2016
2359,Inferno,34300000,2016
1878,Inside Out,356500000,2015
399,Insidious,54000000,2011
1175,Insidious Chapter 2,83600000,2013
1930,Insidious Chapter 3,52200000,2015
3124,Insidious: The Last Key,67700000,2018
3131,Instant Family,67400000,2018
1195,Instructions Not Included,44500000,2013
1486,Interstellar,188000000,2014
1525,Into The Storm,47600000,2014
1515,Into the Woods,128000000,2014
6,Iron Man 2,312400000,2010
1128,Iron Man 3,409000000,2013
3165,Isle Of Dogs,32000000,2018
2770,It,327500000,2017
406,J. Edgar,37300000,2011
763,Jack Reacher,80100000,2012
2375,Jack Reacher: Never Go Back,58700000,2016
1530,Jack Ryan: Shadow Recruit,50600000,2014
379,Jack and Jill,74200000,2011
1168,Jack the Giant Slayer,65200000,2013
41,Jackass 3-D,117200000,2010
1177,Jackass Presents: Bad Grandpa,102000000,2013
2340,Jason Bourne,162400000,2016
1566,Jersey Boys,47000000,2014
2829,Jigsaw,38100000,2017
755,John Carter,73100000,2012
1552,John Wick,43000000,2014
2811,John Wick: Chapter Two,92000000,2017
750,Journey 2: The Mysterious Island,103900000,2012
1938,Joy,56500000,2015
853,Joyful Noise,30900000,2012
2762,Jumanji: Welcome to the Jungle,404500000,2017
451,Jumping the Broom,37300000,2011
1912,Jupiter Ascending,47400000,2015
1190,Jurassic Park 3D,45400000,2013
1873,Jurassic World,652300000,2015
3081,Jurassic World: Fallen Kingdom,417700000,2018
357,Just Go With It,103000000,2011
2771,Justice League,229000000,2017
396,Justin Bieber: Never Say Never,73000000,2011
1251,Kevin Hart: Let Me Explain,32200000,2013
65,Kick-Ass,48100000,2010
1225,Kick-Ass 2,28800000,2013
2878,Kidnap (2017),31000000,2017
64,Killers,47100000,2010
2816,King Arthur: Legend of the Sword,39200000,2017
2779,Kingsman: The Golden Circle,100200000,2017
1889,Kingsman: The Secret Service,128300000,2015
28,Knight & Day,76400000,2010
2774,Kong: Skull Island,168100000,2017
1963,Krampus,42700000,2015
2417,Kubo and the Two Strings,48000000,2016
333,Kung Fu Panda 2,165200000,2011
2337,Kung Fu Panda 3,143500000,2016
2338,La La Land,151100000,2016
2840,Lady Bird,49000000,2017
418,Larry Crowne,35600000,2011
1182,Last Vegas,63900000,2013
825,Lawless,37400000,2012
1171,Lee Daniels' The Butler,116600000,2013
48,Legend of the Guardians: The Owls of Ga'Hoole,55700000,2010
85,Legion (2010),40200000,2010
741,Les Miserables (2012),148800000,2012
1529,Let's Be Cops,82400000,2014
77,Letters to Juliet,53000000,2010
2831,Life (2017),30200000,2017
59,Life as We Know It,53400000,2010
737,Life of Pi,125000000,2012
3164,Life of the Party,53100000,2018
2380,Lights Out,67300000,2016
372,Limitless,79200000,2011
757,Lincoln,182200000,2012
2383,Lion,51700000,2016
20,Little Fockers,148400000,2010
2772,Logan (2017),226300000,2017
2363,London Has Fallen,62500000,2016
1176,Lone Survivor,125100000,2013
771,Looper,66500000,2012
62,Love and Other Drugs,32400000,2010
3162,"Love, Simon",40800000,2018
1494,Lucy,126700000,2014
736,MIB 3,179000000,2012
1891,Mad Max: Fury Road,153600000,2015
734,Madagascar 3: Europe's Most Wanted,216400000,2012
772,Magic Mike,113700000,2012
1927,Magic Mike XXL,66000000,2015
1480,Maleficent,241400000,2014
1180,Mama,71600000,2013
3100,Mamma Mia! Here We Go Again,120600000,2018
1135,Man of Steel,291000000,2013
2410,Manchester by the Sea,47700000,2016
72,Marmaduke,33600000,2010
727,Marvel's The Avengers,623400000,2012
3107,Mary Poppins Returns,172000000,2018
1982,Max (2015),42700000,2015
3113,Maze Runner: The Death Cure,58000000,2018
1895,Maze Runner: The Scorch Trials,81700000,2015
1981,"McFarland, USA",44500000,2015
2362,Me Before You,56200000,2016
17,Megamind,148400000,2010
376,Midnight in Paris,56800000,2011
2413,Mike and Dave Need Wedding Dates,46000000,2016
3163,Mile 22,36100000,2018
1594,Million Dollar Arm,36500000,2014
1876,Minions,336000000,2015
2415,Miracles from Heaven,61700000,2016
768,Mirror Mirror,64900000,2012
2353,Miss Peregrine's Home for Peculiar Children,87200000,2016
3086,Mission: Impossible - Fallout,220200000,2018
332,Mission: Impossible - Ghost Protocol,209400000,2011
1879,Mission: Impossible - Rogue Nation,195000000,2015
2333,Moana,248800000,2016
2852,Molly's Game,28800000,2017
2402,Money Monster,41000000,2016
394,Moneyball,75600000,2011
2845,Monster Trucks,33400000,2017
1133,Monsters University,268500000,2013
828,"Monsters, Inc. (3D)",34000000,2012
816,Moonrise Kingdom,45500000,2012
97,Morning Glory,31000000,2010
2432,Mother's Day,32500000,2016
1505,Mr. Peabody & Sherman,111500000,2014
362,Mr. Popper's Penguins,68200000,2011
1558,Muppets Most Wanted,51200000,2014
2784,Murder on the Orient Express (2017),102800000,2017
2403,My Big Fat Greek Wedding 2,59700000,2016
67,Nanny McPhee Returns,29000000,2010
1518,Need for Speed,43600000,2014
1506,Neighbors,150200000,2014
2397,Neighbors 2: Sorority Rising,55500000,2016
2408,Nerve,38600000,2016
385,New Year's Eve,54500000,2011
3136,Night School (2018),77300000,2018
1498,Night at the Museum: Secret of the Tomb,113700000,2014
1595,Nightcrawler,32400000,2014
1576,No Good Deed (2014),52500000,2014
