,movie,production_budget,domestic_gross,worldwide_gross,total_gross,profit
128,Big Hero 6,165000000,222527828,652127828,874655656,709655656
1498,Big Miracle,40000000,20157300,25268680,45425980,5425980
1770,Big Momma's House,33000000,117559438,173559438,291118876,258118876
1414,Big Momma's House 2,40000000,70165972,137047376,207213348,167213348
1800,"Big Mommas: Like Father, Like Son",32000000,37915414,82332450,120247864,88247864
2545,Bill & Ted's Bogus Journey,20000000,37537675,37537675,75075350,55075350
3557,Bill & Ted's Excellent Adventure,10000000,40485039,40485039,80970078,70970078
4281,Billy Elliot,5000000,21995263,109253745,131249008,126249008
5357,Billy Jack,800000,98000000,98000000,196000000,195200000
2785,Birdman or (The Unexpected Virtue of Ignorance),18000000,42340598,103215094,145555692,127555692
3292,Birthday Girl,13000000,4919896,8130727,13050623,50623
3020,BlacKkKlansman,15000000,49275340,93017335,142292675,127292675
3784,Black Christmas,9000000,16235738,16235738,32471476,23471476
414,Black Hawk Down,95000000,108638745,159691085,268329830,173329830
1683,Black Knight,35000000,33422806,33422806,66845612,31845612
1058,Black Mass,53000000,62575678,98837872,161413550,108413550
41,Black Panther,200000000,700059566,1348258224,2048317790,1848317790
1900,Black Rain,30000000,45892212,45892212,91784424,61784424
3101,Black Snake Moan,15000000,9396870,10951153,20348023,5348023
3245,Black Swan,13000000,106954678,331266710,438221388,425221388
3660,Black and White,10000000,5241315,5241315,10482630,482630
3779,Black or White,9000000,21571189,21971021,43542210,34542210
1270,Blade,45000000,70141876,131237688,201379564,156379564
1049,Blade 2,54000000,81676888,154338601,236015489,182015489
2061,Blade Runner,28000000,32656328,39342912,71999240,43999240
79,Blade Runner 2049,185000000,92054159,259357408,351411567,166411567
799,Blade: Trinity,65000000,52397389,131353165,183750554,118750554
836,Blades of Glory,61000000,118594548,145594548,264189096,203189096
3600,Blair Witch,10000000,20777061,38985577,59762638,49762638
1698,Blast from the Past,35000000,26613620,26613620,53227240,18227240
4800,Blazing Saddles,2600000,119500000,119500000,239000000,236400000
1289,Blended,45000000,46290741,127990741,174281482,129281482
1477,Bless the Child,40000000,29374178,40435694,69809872,29809872
2459,Blockers,21000000,60311495,94045328,154356823,133356823
388,Blood Diamond,100000000,57377916,171377916,228755832,128755832
5081,Blood Simple,1500000,1690913,2730877,4421790,2921790
1170,Blood Work,50000000,26199517,26199517,52399034,2399034
5067,Bloodsport,1500000,11806119,11806119,23612238,22112238
1889,Blow,30000000,52990775,83282296,136273071,106273071
2815,Blow Out,18000000,13747234,13747234,27494468,9494468
1914,Blue Crush,30000000,40118420,51618420,91736840,61736840
2789,Blue Jasmine,18000000,33404871,102912961,136317832,118317832
5506,Blue Ruin,420000,258384,437002,695386,275386
1607,Blue Streak,36000000,68208190,117448157,185656347,149656347
5224,Blue Valentine,1000000,9737892,16566240,26304132,25304132
3107,Boat Trip,15000000,8586376,14933713,23520089,8520089
3207,Bobby,14000000,11242801,20597806,31840607,17840607
3640,Body Double,10000000,8801940,8801940,17603880,7603880
763,Body of Lies,67500000,39394666,118556530,157951196,90451196
983,Bohemian Rhapsody,55000000,216303339,894985342,1111288681,1056288681
3783,Boiler Room,9000000,16963963,28773637,45737600,36737600
185,Bolt,150000000,114053579,328015029,442068608,292068608
3894,"Bon Cop, Bad Cop",8000000,12671300,12740705,25412005,17412005
3646,Bones,10000000,7316658,8378853,15695511,5695511
2531,Boogeyman,20000000,46752382,67192859,113945241,93945241
3058,Boogie Nights,15000000,26410771,43111725,69522496,54522496
3542,Book Club,10000000,68566296,91113683,159679979,149679979
3057,Book of Shadows: Blair Witch 2,15000000,26421314,47721314,74142628,59142628
4901,Boom Town,2000000,9172000,9172000,18344000,16344000
1347,Boomerang,42000000,70052444,131052444,201104888,159104888
2764,Borat,18000000,128505958,261443242,389949200,371949200
3176,Born on the Fourth of July,14000000,70001698,70001698,140003396,126003396
4341,Bottle Shock,5000000,4078607,4815890,8894497,3894497
1676,Bounce,35000000,36805288,53425292,90230580,55230580
4432,Bound,4500000,3802260,7011317,10813577,6313577
1009,Bowfinger,55000000,66458769,98699769,165158538,110158538
4674,Bowling for Columbine,3000000,21576018,58240487,79816505,76816505
4484,Boyhood,4000000,25379975,57273049,82653024,78653024
4778,Boynton Beach Club,2900000,3127472,3127472,6254944,3354944
4897,Boys Don't Cry,2000000,11540607,20741000,32281607,30281607
2947,Boys and Girls,16000000,21799652,21799652,43599304,27599304
4085,Boyz n the Hood,6500000,56190094,56215095,112405189,105905189
3104,Brainstorm,15000000,8921050,8921050,17842100,2842100
1402,Bram Stoker's Dracula,40000000,82522790,215862692,298385482,258385482
4079,Bran Nue Dae,6750000,113568,6812530,6926098,176098
76,Brave,185000000,237282182,554606532,791888714,606888714
684,Braveheart,72000000,75545647,209045244,284590891,212590891
3099,Brazil,15000000,9929135,9932146,19861281,4861281
1610,Breakdown,36000000,50159144,50159144,100318288,64318288
3788,Breakin' All the Rules,9000000,12232382,12512317,24744699,15744699
4118,Breaking In,6000000,46840590,51411620,98252210,92252210
5760,Breaking Upwards,15000,115592,115592,231184,216184
4008,Breathless,7000000,19910002,19910002,39820004,32820004
5494,Brick,450000,2075743,4243996,6319739,5869739
4829,Brick Lane,2500000,1094998,3838486,4933484,2433484
2068,Brick Mansions,28000000,20396829,73421224,93818053,65818053
4028,Bride & Prejudice,7000000,6601079,25269040,31870119,24870119
1880,Bride Wars,30000000,58715510,115150424,173865934,143865934
2227,Bride of Chucky,25000000,32404188,50692188,83096376,58096376
1784,Bridesmaids,32500000,169211718,289632023,458843741,426343741
1409,Bridge of Spies,40000000,72313754,162498338,234812092,194812092
2173,Bridge to Terabithia,25000000,82234139,137984788,220218927,195218927
2181,Bridget Jones's Diary,25000000,71500556,281527158,353027714,328027714
1149,Bridget Jones: The Edge Of Reason,50000000,40203020,263894551,304097571,254097571
1702,Bridget Jonesâs Baby,35000000,24139805,205822688,229962493,194962493
5254,Brigham City,1000000,852206,852206,1704412,704412
2260,"Bright Lights, Big City",25000000,16118077,16118077,32236154,7236154
3844,Bright Star,8500000,4444637,17220091,21664728,13164728
4012,BrightBurn,7000000,16794432,27989498,44783930,37783930
3543,Bring it On,10000000,68353550,90453550,158807100,148807100
2493,Bringing Down the House,20000000,132675402,164675402,297350804,277350804
1811,Bringing Out The Dead,32000000,16640210,16640210,33280420,1280420
3229,Brokeback Mountain,13900000,83043761,176980863,260024624,246124624
791,Broken Arrow,65000000,70645997,148345997,218991994,153991994
1710,Broken City,35000000,19701164,34480045,54181209,19181209
3623,Broken Flowers,10000000,13744960,40744960,54489920,44489920
5608,Bronson,230000,104979,2703762,2808741,2578741
3478,Brooklyn,11000000,38322743,62076141,100398884,89398884
2887,Brooklyn's Finest,17000000,27163593,39233233,66396826,49396826
2140,Brothers,26000000,28544157,45043870,73588027,47588027
3875,Brown Sugar,8000000,27362712,28315272,55677984,47677984
536,Bruce Almighty,81000000,242704995,484468608,727173603,646173603
1348,BrÃ¼no,42000000,60054530,138708527,198763057,156763057
5250,Bubba Ho-Tep,1000000,1239183,1492895,2732078,1732078
5078,Buffalo '66,1500000,2380606,2380606,4761212,3261212
4016,Buffy the Vampire Slayer,7000000,14231669,14231669,28463338,21463338
4507,Bug,4000000,7006708,8302995,15309703,11309703
2629,Bullets Over Broadway,20000000,13383747,13383747,26767494,6767494
4878,Bully,2100000,881824,1381824,2263648,163648
1939,Bulworth,30000000,26528684,29203383,55732067,25732067
361,Bumblebee,102000000,127195589,465195589,592391178,490391178
5001,Buried,1987650,1044143,21270290,22314433,20326783
1023,Burlesque,55000000,39440655,90552675,129993330,74993330
5609,Burn,225000,1109276,1109276,2218552,1993552
1594,Burn After Reading,37000000,60355347,168167798,228523145,191523145
2626,Burnt,20000000,13651946,36773510,50425456,30425456
5167,But I'm a Cheerleader,1200000,2205627,2509344,4714971,3514971
4115,Butch Cassidy and the Sundance Kid,6000000,102308900,102310653,204619553,198619553
5149,C.H.U.D.,1250000,4700000,4700000,9400000,8150000
2252,CHiPS,25000000,18600152,23190292,41790444,16790444
5064,Cabin Fever,1500000,21158188,30351664,51509852,50009852
3906,CachÃ©,8000000,3647381,19891331,23538712,15538712
4121,Caddyshack,6000000,39846344,39846344,79692688,73692688
3407,Cadillac Records,12000000,8195551,8942516,17138067,5138067
3577,Calendar Girls,10000000,31011616,93074616,124086232,114086232
5623,Call+Response,200000,212989,212989,425978,225978
4416,Camping Sauvage,4600000,3479302,3479302,6958604,2358604
3639,Can You Ever Forgive Me?,10000000,8803865,11752387,20556252,10556252
3594,Can't Hardly Wait,10000000,25358996,25358996,50717992,40717992
1640,Cape Fear,35000000,79091969,182291969,261383938,226383938
2620,Capitalism: A Love Story,20000000,14363397,19121531,33484928,13484928
3998,Capote,7000000,28750530,49924079,78674609,71674609
16,Captain America: Civil War,250000000,408084349,1140069413,1548153762,1298153762
209,Captain America: The First Avenger,140000000,176654505,370569776,547224281,407224281
115,Captain America: The Winter Soldier,170000000,259746958,714401889,974148847,804148847
975,Captain Corelli's Mandolin,57000000,25528495,62097495,87625990,30625990
95,Captain Marvel,175000000,426525952,1123061550,1549587502,1374587502
991,Captain Phillips,55000000,107136417,220648184,327784601,272784601
1558,Captain Underpants: The First Epic Movie,38000000,73921000,126577874,200498874,162498874
4922,Captive,2000000,2583301,2791973,5375274,3375274
2306,Carnage,25000000,2546747,38112154,40658901,15658901
3459,Carol,11800000,12711491,42843521,55555012,43755012
5015,Carrie,1800000,25878153,25878153,51756306,49956306
693,Cars,70000000,244082982,461651246,705734228,635734228
56,Cars 2,200000000,191450875,560155383,751606258,551606258
104,Cars 3,175000000,152901115,383541369,536442484,361442484
4152,Casa de mi Padre,6000000,5909483,8446952,14356435,8356435
5209,Casablanca,1039000,10462500,10496855,20959355,19920355
2106,Case 39,27000000,13261851,28773827,42035678,15035678
1070,Casino,52000000,42438300,110400000,152838300,100838300
359,Casino Royale,102000000,167365000,594420283,761785283,659785283
997,Casper,55000000,100328194,282300000,382628194,327628194
487,Cast Away,85000000,233632142,427230516,660862658,575862658
5668,Cat People,134000,4000000,8000000,12000000,11866000
4681,Cat on a Hot Tin Roof,3000000,17570324,17570324,35140648,32140648
1066,Catch Me if You Can,52000000,164606800,355612291,520219091,468219091
2809,Catch That Kid,18000000,16703799,16959614,33663413,15663413
2798,Catch-22,18000000,24911670,24911670,49823340,31823340
858,Cats & Dogs,60000000,93375151,200700000,294075151,234075151
516,Cats & Dogs: The Revenge of Kitty Galore,85000000,43585753,113026383,156612136,71612136
394,Catwoman,100000000,40202379,82145379,122347758,22347758
5775,Cavite,7000,70071,71644,141715,134715
3650,Cedar Rapids,10000000,6861102,7862131,14723233,4723233
5353,Celeste and Jesse Forever,840000,3103407,3787689,6891096,6051096
1294,Cellular,45000000,32003620,61475984,93479604,48479604
2807,Center Stage,18000000,17200925,21361109,38562034,20562034
1090,Central Intelligence,50000000,127440871,217194805,344635676,294635676
4776,Central do Brasil,2900000,5969553,17006158,22975711,20075711
1035,Chain Reaction,55000000,21226204,60209334,81435538,26435538
1025,Changeling,55000000,35739802,113805580,149545382,94545382
1273,Changing Lanes,45000000,66790248,66790248,133580496,88580496
1210,Chappie,49000000,31569268,105002056,136571324,87571324
4214,Chariots of Fire,5500000,61558162,61865947,123424109,117924109
1330,Charlie St. Cloud,44000000,31206263,48478084,79684347,35684347
649,Charlie Wilson's War,75000000,66661095,119512771,186173866,111173866
163,Charlie and the Chocolate Factory,150000000,206459076,475825484,682284560,532284560
447,Charlie's Angels,90000000,125305545,259736090,385041635,295041635
290,Charlie's Angels: Full Throttle,120000000,100814328,227200000,328014328,208014328
529,Charlotte's Web,82500000,82985708,143985708,226971416,144471416
5328,Charly,950000,814666,814666,1629332,679332
5569,Chasing Amy,250000,12006514,15155095,27161609,26911609
2389,Chasing Liberty,23000000,12189514,12291975,24481489,1481489
3793,Chasing Papi,9000000,6126237,12657377,18783614,9783614
5688,Cheap Thrills,100000,59424,59424,118848,18848
1381,Cheaper by the Dozen,40000000,138614544,190212113,328826657,288826657
865,Cheaper by the Dozen 2,60000000,82571173,135015330,217586503,157586503
5217,Chernobyl Diaries,1000000,18119640,42411721,60531361,59531361
1838,Chicago,30000000,170687518,306770545,477458063,447458063
178,Chicken Little,150000000,135386665,310043823,445430488,295430488
1345,Chicken Run,42000000,106793915,227793915,334587830,292587830
3776,Child's Play,9000000,33244684,44196684,77441368,68441368
3267,Child's Play 2,13000000,26904572,34166572,61071144,48071144
623,Children of Men,76000000,35552383,69845011,105397394,29397394
4444,Chinjeolhan geumjassi,4500000,211667,23471871,23683538,19183538
3296,Chloe,13000000,3075255,11831131,14906386,1906386
2182,Chocolat,25000000,71309760,152500343,223810103,198810103
5282,Chocolate: Deep Dark Secrets,1000000,49000,1549000,1598000,598000
4637,Choke,3400000,2926565,4124277,7050842,3650842
1116,Christmas with the Kranks,50000000,73701902,96469187,170171089,120171089
642,Christopher Robin,75000000,99215042,197504758,296719800,221719800
3354,Chronicle,12000000,64575175,123681790,188256965,176256965
5575,Chuck&Buck,250000,1055671,1157672,2213343,1963343
2398,ChÄi dÃ n zhuÄnjiÄ,23000000,0,58807172,58807172,35807172
4644,Cidade de Deus,3300000,7563397,32059295,39622692,36322692
412,Cinderella,95000000,201151353,534551353,735702706,640702706
482,Cinderella Man,88000000,61649911,105021488,166671399,78671399
5340,Circumstance,900000,454121,958978,1413099,513099
1508,Cirque du Freak: The Vampire's Assistant,40000000,14046595,39753957,53800552,13800552
2276,Cirque du Soleil: Worlds Away,25000000,12512862,28012862,40525724,15525724
1497,City Hall,40000000,20278055,20278055,40556110,556110
4151,City Island,6000000,6671283,8173486,14844769,8844769
1491,City by the Sea,40000000,22433915,22433915,44867830,4867830
1003,City of Angels,55000000,78750909,198750909,277501818,222501818
5448,Civil Brand,500000,254293,254293,508586,8586
3050,Clash of the Titans,15000000,30000000,44400000,74400000,59400000
4649,Class of 1984,3250000,6965361,6965361,13930722,10680722
5766,Clean,10000,138711,138711,277422,267422
829,Clear and Present Danger,62000000,122012656,207500000,329512656,267512656
1349,Cleopatra,42000000,57000000,71000000,128000000,86000000
5742,Clerks,27000,3073428,3894240,6967668,6940668
4279,Clerks II,5000000,24148068,27342246,51490314,46490314
528,Click,82500000,137355633,237685089,375040722,292540722
789,Cliffhanger,65000000,84049211,255000000,339049211,274049211
2138,Clockstoppers,26000000,36985501,38788828,75774329,49774329
2489,Close Encounters of the Third Kind,20000000,169100479,340800479,509900958,489900958
1681,Closer,35000000,33987757,116177695,150165452,115165452
362,Cloud Atlas,102000000,27108272,130673154,157781426,55781426
372,Cloudy with a Chance of Meatballs,100000000,124870275,236827677,361697952,261697952
612,Cloudy with a Chance of Meatballs 2,78000000,119793567,274392649,394186216,316186216
2175,Cloverfield,25000000,80048433,171302226,251350659,226350659
3843,Club Dread,8500000,5001655,7573551,12575206,4075206
3230,Clueless,13700000,56598476,56598476,113196952,99496952
1271,Coach Carter,45000000,67264877,76665507,143930384,98930384
3010,Coal Miner's Daughter,15000000,67182787,67182787,134365574,119365574
2196,Cobra,25000000,49042224,49042224,98084448,73084448
101,Coco,175000000,209726015,798008101,1007734116,832734116
2394,Coco avant Chanel,23000000,6113834,50813834,56927668,33927668
562,Cold Mountain,80000000,95632614,165173909,260806523,180806523
922,Cold Pursuit,60000000,32138862,62599159,94738021,34738021
857,Collateral,60000000,100170152,217670152,317840304,257840304
1612,Collateral Beauty,36000000,31016021,85309093,116325114,80325114
517,Collateral Damage,85000000,40048332,78353508,118401840,33401840
4155,College,6000000,4694491,6176114,10870605,4870605
1459,Colombiana,40000000,36665854,72295262,108961116,68961116
5392,Columbus,700000,1017107,1110511,2127618,1427618
4671,Coming Home,3000000,32653000,32653000,65306000,62306000
3568,Commando,10000000,35073978,35073978,70147956,60147956
4720,Compadres,3000000,3127773,7445044,10572817,7572817
5567,Compliance,270000,319285,830700,1149985,879985
560,Con Air,80000000,101117573,224117573,325235146,245235146
2796,Conan the Destroyer,18000000,26400000,26400000,52800000,34800000
1679,Concussion,35000000,34531832,50363790,84895622,49895622
2026,Confessions of a Dangerous Mind,29000000,16007718,33013805,49021523,20021523
3051,Confessions of a Teenage Drama Queen,15000000,29331068,33118854,62449922,47449922
3091,Confidence,15000000,12212417,12212417,24424834,9424834
1110,Congo,50000000,81022333,152022333,233044666,183044666
5040,Conquest of the Planet of the Apes,1700000,9700000,9700000,19400000,17700000
572,Conspiracy Theory,80000000,76118990,142783718,218902708,138902708
646,Constantine,75000000,75976178,221594911,297571089,222571089
451,Contact,90000000,100920329,165900000,266820329,176820329
870,Contagion,60000000,75658097,137551594,213209691,153209691
2184,Contraband,25000000,66528000,98406855,164934855,139934855
4106,Control,6400000,871577,8902141,9773718,3373718
5496,Conversations with Other Women,450000,379418,1297745,1677163,1227163
3327,Conviction,12500000,6797696,11826980,18624676,6124676
3177,Cool Runnings,14000000,68856263,155056263,223912526,209912526
3023,Cop Land,15000000,44906632,63706632,108613264,93613264
1598,Cop Out,37000000,44875481,55909910,100785391,63785391
2559,Copycat,20000000,32051917,32051917,64103834,44103834
873,Coraline,60000000,75286229,126037057,201323286,141323286
3484,Corky Romano,11000000,23978402,25116103,49094505,38094505
1886,Corpse Bride,30000000,53359111,114770654,168129765,138129765
3070,Country Strong,15000000,20218921,20601987,40820908,25820908
851,Couples Retreat,60000000,109205660,172450423,281656083,221656083
1248,Courage Under Fire,46000000,59003384,100833145,159836529,113836529
4886,Courageous,2000000,34522221,35185884,69708105,67708105
133,Cowboys and Aliens,163000000,100368560,176038324,276406884,113406884
1276,Coyote Ugly,45000000,60786269,113916474,174702743,129702743
2222,Cradle 2 the Grave,25000000,34657731,56434942,91092673,66092673
3374,Crank,12000000,27838408,43924923,71763331,59763331
2625,Crank 2: High Voltage,20000000,13684249,35472739,49156988,29156988
3978,Crash,7303082,55334418,101173038,156507456,149204374
3830,Crazy Heart,8500000,39471742,47417251,86888993,78388993
1837,Crazy Rich Asians,30000000,174532921,238099711,412632632,382632632
1107,"Crazy, Stupid, Love",50000000,84351197,147142328,231493525,181493525
1590,Creed,37000000,109767581,173567581,283335162,246335162
1095,Creed II,50000000,115715889,213591522,329307411,279307411
3883,Creepshow,8000000,20036244,20036244,40072488,32072488
4598,Creepshow 2,3500000,14000000,14000000,28000000,24500000
1820,Criminal,31500000,14708696,38771262,53479958,21979958
1032,Crimson Peak,55000000,31090320,74966854,106057174,51057174
1000,Crimson Tide,55000000,91387195,159387195,250774390,195774390
3826,Crocodile Dundee,8800000,174803506,328203506,503007012,494207012
3175,Crocodile Dundee 2,14000000,109306210,239606210,348912420,334912420
2239,Crocodile Dundee in Los Angeles,25000000,25590119,39393111,64983230,39983230
3204,Crooklyn,14000000,13024170,13024170,26048340,12048340
4208,Crossover,5600000,7009668,7009668,14019336,8419336
2998,"Crouching Tiger, Hidden Dragon",15000000,128067808,213514672,341582480,326582480
3477,Cruel Intentions,11000000,38665260,76238901,114904161,103904161
2028,Cry Freedom,29000000,5899797,25899797,31799594,2799594
5222,Cry Wolf,1000000,10047674,15943081,25990755,24990755
5577,Cube,250000,489220,8969065,9458285,9208285
5767,Cure,10000,94596,94596,189192,179192
1124,Curious George,50000000,58640119,71052604,129692723,79692723
1713,Cursed,35000000,19294901,25114901,44409802,9409802
4026,Cyrus,7000000,7468936,10062896,17531832,10531832
4138,Daddy Day Camp,6000000,13235267,18209872,31445139,25445139
854,Daddy Day Care,60000000,104148781,164285587,268434368,208434368
1087,Daddyâs Home,50000000,150357137,242757137,393114274,343114274
704,Daddyâs Home 2,70000000,104029443,175807183,279836626,209836626
4272,Dallas Buyers Club,5000000,27298285,60611845,87910130,82910130
2238,Dance Flick,25000000,25794018,32224624,58018642,33018642
3330,Dancer in the Dark,12500000,4157491,45557491,49714982,37214982
2724,Dances with Wolves,19000000,184208842,424200000,608408842,589408842
3755,Dangal,9500000,12391761,294654618,307046379,297546379
3658,Danny Collins,10000000,5637066,8465845,14102911,4102911
1337,Danny the Dog,43000000,24537621,49037621,73575242,30575242
308,Dante's Peak,115000000,67163857,178200000,245363857,130363857
558,Daredevil,80000000,102543518,182782518,285326036,205326036
4034,Dark Angel,7000000,4372561,4372561,8745122,1745122
3102,Dark Blue,15000000,9237470,12262065,21499535,6499535
2104,Dark City,27000000,14435076,27257061,41692137,14692137
188,Dark Shadows,150000000,79727149,238202668,317929817,167929817
4596,Dark Skies,3500000,17418667,27704111,45122778,41622778
933,Dark Water,60000000,25473093,49473093,74946186,14946186
1883,Darkest Hour,30000000,56443120,150807172,207250292,177250292
3523,Darkness,10600000,22163442,34409206,56572648,45972648
3995,Darkness Falls,7000000,32539681,47289758,79829439,72829439
3402,Das Boot,12000000,11487676,84970337,96458013,84458013
4898,Das Leben der Anderen,2000000,11284657,81197047,92481704,90481704
2840,Das Weisse Band: Eine deutsche Kindergeschichte,18000000,2222862,25727044,27949906,9949906
2526,Date Movie,20000000,48548426,85146165,133694591,113694591
998,Date Night,55000000,98711404,152269033,250980437,195980437
4689,Dave Chappelle's Block Party,3000000,11718595,12051924,23770519,20770519
5074,Dawn of the Dead,1500000,5100000,55000000,60100000,58600000
116,Dawn of the Planet of the Apes,170000000,208545589,710644566,919190155,749190155
2566,Daybreakers,20000000,30101577,51445503,81547080,61547080
5765,Dayereh,10000,673780,673780,1347560,1337560
594,Daylight,80000000,32908290,158908290,191816580,111816580
4718,Days of Heaven,3000000,3446749,3660880,7107629,4107629
864,Days of Thunder,60000000,82670733,157670733,240341466,180341466
4073,Dazed and Confused,6900000,7950889,7950889,15901778,9001778
4226,De battre mon coeur s'est arrÃªtÃ©,5500000,1023424,8589831,9613255,4113255
2719,De rouille et dâos,19500000,2061449,29393634,31455083,11955083
3084,De-Lovely,15000000,13337299,18524496,31861795,16861795
1977,Dead Man Down,30000000,10895295,19599974,30495269,495269
3476,Dead Man Walking,11000000,39387284,83088295,122475579,111475579
3200,Dead Man on Campus,14000000,15064948,15064948,30129896,16129896
2926,Dead Poets Society,16400000,95860116,239500000,335360116,318960116
2611,Dead Silence,20000000,16574590,20614661,37189251,17189251
955,Deadpool,58000000,363070709,801025593,1164096302,1106096302
314,Deadpool 2,110000000,324591735,786680557,1111272292,1001272292
2176,Dear John,25000000,80014842,142033509,222048351,197048351
5150,Dear White People,1250000,4404154,5403771,9807925,8557925
1012,Death Becomes Her,55000000,58422650,149022650,207445300,152445300
806,Death Race,65000000,36316032,72516819,108832851,43832851
2645,Death Sentence,20000000,9534258,16907831,26442089,6442089
1927,Death Wish,30000000,34017028,48575965,82592993,52592993
2463,Death at a Funeral,21000000,42739347,48977233,91716580,70716580
1079,Deck the Halls,51000000,35093569,46815807,81909376,30909376
2641,Deconstructing Harry,20000000,10686841,10686841,21373682,1373682
875,Deep Blue Sea,60000000,73648228,165048228,238696456,178696456
546,Deep Impact,80000000,140464664,349464664,489929328,409929328
5745,Deep Throat,25000,45000000,45000000,90000000,89975000
146,Deepwater Horizon,156000000,61433527,122603824,184037351,28037351
3397,Def Jam's How To Be a Player,12000000,14010363,14010363,28020726,16020726
1164,Defiance,50000000,28644813,52987754,81632567,31632567
3996,"Definitely, Maybe",7000000,32241649,55617866,87859515,80859515
1933,Deliver Us from Evil,30000000,30577122,87956618,118533740,88533740
2420,Delivery Man,22000000,30659817,70536870,101196687,79196687
4755,Demonic,3000000,0,4668109,4668109,1668109
1902,Den of Thieves,30000000,44947622,80131391,125079013,95079013
3665,Denial,10000000,4073448,9263940,13337388,3337388
3238,Der Untergang,13500000,5501940,93631744,99133684,85633684
2418,Derailed,22000000,36020063,57520063,93540126,71540126
4342,Des Hommes et Des Dieux,5000000,3954651,46263525,50218176,45218176
4001,Desperado,7000000,25532388,25532388,51064776,44064776
749,Despicable Me,69000000,251513985,543464573,794978558,725978558
621,Despicable Me 2,76000000,368065385,975216835,1343282220,1267282220
629,Despicable Me 3,75000000,264624300,1034727750,1299352050,1224352050
2425,Deuce Bigalow: European Gigolo,22000000,22400154,45273464,67673618,45673618
2771,Deuce Bigalow: Male Gigolo,18000000,65535067,92935067,158470134,140470134
3655,Deuces Wild,10000000,6044618,6244618,12289236,2289236
3570,Devil,10000000,33679655,63354114,97033769,87033769
971,Devil's Advocate,57000000,61007424,153007424,214014848,157014848
4013,Devil's Due,7000000,15821461,36146087,51967548,44967548
3982,Diamonds Are Forever,7200000,43800000,116000000,159800000,152600000
4215,Diary of a Mad Black Woman,5500000,50406346,50458356,100864702,95364702
3012,Diary of a Wimpy Kid,15000000,64003625,76954311,140957936,125957936
2416,Diary of a Wimpy Kid: Dog Days,22000000,49008662,77229695,126238357,104238357
2779,Diary of a Wimpy Kid: Rodrick Rules,18000000,52698535,73695194,126393729,108393729
2426,Diary of a Wimpy Kid: The Long Haul,22000000,20738724,35609577,56348301,34348301
4789,Diary of the Dead,2750000,952620,5394447,6347067,3597067
1232,Dick Tracy,47000000,103738726,162738726,266477452,219477452
2890,Dickie Roberts: Former Child Star,17000000,22734486,23734486,46468972,29468972
966,Did You Hear About the Morgans?,58000000,29580087,80480566,110060653,52060653
204,Die Another Day,142000000,160942139,431942139,592884278,450884278
4108,Die FÃ¤lscher,6250000,5488570,20199663,25688233,19438233
2037,Die Hard,28000000,81350242,139109346,220459588,192459588
702,Die Hard 2,70000000,117323878,239814025,357137903,287137903
453,Die Hard: With a Vengeance,90000000,100012499,366101666,466114165,376114165
2103,Die Unendliche Geschichte,27000000,21300000,21392049,42692049,15692049
3981,Die Welle,7250000,0,35122948,35122948,27872948
4322,Digimon: The Movie,5000000,9628751,16628751,26257502,21257502
4310,Diner,5000000,12592907,12592907,25185814,20185814
750,Dinner for Schmucks,69000000,73026337,86796502,159822839,90822839
257,Dinosaur,127500000,137748063,356148063,493896126,366396126
3461,Dirty Grandpa,11500000,35593113,105078449,140671562,129171562
3642,Dirty Pretty Things,10000000,8112414,14156753,22269167,12269167
