,movie,production_budget,domestic_gross,worldwide_gross,total_gross,profit
3284,Dirty Work,13000000,10020081,10020081,20040162,7040162
2622,Disaster Movie,20000000,14190901,36720752,50911653,30911653
1002,Disclosure,55000000,83015089,212200000,295215089,240215089
1103,Disney Planes,50000000,90282580,238059569,328342149,278342149
70,Disneyâs A Christmas Carol,190000000,137855863,315709697,453565560,263565560
1846,District 9,30000000,115646235,212453431,328099666,298099666
2506,Disturbia,20000000,80818974,118537627,199356601,179356601
3073,Disturbing Behavior,15000000,17507368,19014238,36521606,21521606
494,Divergent,85000000,150947895,276014965,426962860,341962860
368,Django Unchained,100000000,162805434,449948323,612753757,512753757
4859,Do You Believe?,2300000,12985600,14304931,27290531,24990531
4124,Do the Right Thing,6000000,26004026,26004026,52008052,46008052
690,Doctor Dolittle,71500000,144156605,294156605,438313210,366813210
762,Doctor Seuss' The Lorax,67500000,214030500,350976753,565007253,497507253
127,Doctor Strange,165000000,232641920,676404566,909046486,744046486
3466,Doctor Zhivago,11000000,111897830,112036323,223934153,212934153
1847,Dodgeball: A True Underdog Story,30000000,114326736,167791704,282118440,252118440
3578,Dogma,10000000,30651422,43948865,74600287,64600287
5510,Dogtown and Z-Boys,400000,1293295,1600566,2893861,2493861
1592,Dolphin Tale,37000000,72286779,96068724,168355503,131355503
1611,Dolphin Tale 2,36000000,42024533,57824533,99849066,63849066
4149,Dolphins and Whales Tribes of the Ocean 3D,6000000,7714996,17252287,24967283,18967283
1061,Domestic Disturbance,53000000,45207112,54207112,99414224,46414224
4217,Don Jon,5500000,24477704,41268579,65746283,60246283
2246,Don Juan DeMarco,25000000,22032635,22032635,44065270,19065270
2242,Don't Be Afraid of the Dark,25000000,24046682,39126427,63173109,38173109
5381,Donkey Punch,750000,19367,814801,834168,84168
1667,Donnie Brasco,35000000,41954997,65303052,107258049,72258049
4438,Donnie Darko,4500000,1480006,7510877,8990883,4490883
4796,Donovan's Reef,2686000,6600000,6600000,13200000,10514000
3538,Donât Breathe,10000000,89217875,158973685,248191560,238191560
1128,Donât Say a Word,50000000,54997476,104488383,159485859,109485859
4708,Donât Think Twice,3000000,4417983,4417983,8835966,5835966
2659,Doogal,20000000,7578946,28058652,35637598,15637598
734,Doom,70000000,28212337,58757178,86969515,16969515
4010,Dope,7000000,17506470,18190831,35697301,28697301
2941,Double Impact,16000000,29090445,29090445,58180890,42180890
1385,Double Jeopardy,40000000,116735231,177835231,294570462,254570462
2348,Double Take,24000000,29823162,29823162,59646324,35646324
2557,Doubt,20000000,33446470,53191101,86637571,66637571
4288,Doug's 1st Movie,5000000,19421271,19421271,38842542,33842542
5196,Down by Law,1100000,1436000,1436000,2872000,1772000
1872,Down to Earth,30000000,64172251,71172251,135344502,105344502
3780,Down to You,9000000,20035310,20035310,40070620,31070620
761,Downsizing,68000000,24449754,54462971,78912725,10912725
683,Dr. Dolittle 2,72000000,112950721,176101721,289052442,217052442
5219,Dr. No,1000000,16067035,59567035,75634070,74634070
627,Dr. Seussâ The Grinch,75000000,270620950,511002426,781623376,706623376
5018,Dr. Strangelove,1800000,9164370,9230678,18395048,16595048
2060,Dracula 2000,28000000,33000377,33000377,66000754,38000754
720,Dracula Untold,70000000,55991880,220241723,276233603,206233603
2235,Draft Day,25000000,28842237,29847480,58689717,33689717
1909,Drag Me To Hell,30000000,42100625,91388487,133489112,103489112
3835,Dragon Ball Super: Broly,8500000,30376755,122747755,153124510,144624510
1813,Dragon Wars: D-War,32000000,10977721,79915361,90893082,58893082
1979,Dragonball Evolution,30000000,9362785,58228460,67591245,37591245
927,Dragonfly,60000000,30063805,30063805,60127610,127610
973,Dragonheart,57000000,51364680,104364680,155729360,98729360
1179,Dream House,50000000,21302340,41642166,62944506,12944506
5264,Dream With The Fishes,1000000,542909,542909,1085818,85818
758,Dreamcatcher,68000000,33685268,75685268,109370536,41370536
1804,Dreamer: Inspired by a True Story,32000000,33022286,39498360,72520646,40520646
641,Dreamgirls,75000000,103365956,155708695,259074651,184074651
1314,Dredd,45000000,13414714,41467606,54882320,9882320
4088,Dressed to Kill,6500000,31899000,31899000,63798000,57298000
1467,Drillbit Taylor,40000000,32862104,49686263,82548367,42548367
5444,Drinking Buddies,500000,343706,407100,750806,250806
3035,Drive,15000000,35060689,81357930,116418619,101418619
1190,Drive Angry,50000000,10721033,41042583,51763616,1763616
3886,Drive Me Crazy,8000000,17843379,22591451,40434830,32434830
686,Driven,72000000,32616869,54616869,87233738,15233738
3952,Driving Miss Daisy,7500000,106593296,106593296,213186592,205686592
3632,Drop Dead Gorgeous,10000000,10571408,10571408,21142816,11142816
2953,Drowning Mona,16000000,15427192,15980376,31407568,15407568
2518,Drumline,20000000,56398162,56398162,112796324,92796324
3258,"Dude, Where's My Car?",13000000,46729374,73180297,119909671,106909671
783,Due Date,65000000,100539043,211739043,312278086,247278086
4130,Duel in the Sun,6000000,20400000,20400000,40800000,34800000
4245,Dum Maaro Dum,5200000,564489,11633427,12197916,6997916
2927,Dumb & Dumber,16000000,127175374,246400000,373575374,357575374
1400,Dumb and Dumber To,40000000,86208010,156553592,242761602,202761602
1940,Dumb and Dumberer: When Harry Met Lloyd,30000000,26214846,26214846,52429692,22429692
121,Dumbo,170000000,113883318,345004422,458887740,288887740
1297,Dune,45000000,27447471,27447471,54894942,9894942
1720,Dungeons and Dragons,35000000,15185241,33771965,48957206,13957206
168,Dunkirk,150000000,190068280,499837368,689905648,539905648
911,Duplicity,60000000,40572825,81079566,121652391,61652391
4726,DysFunkTional Family,3000000,2255000,2255000,4510000,1510000
579,DÃ©jÃ Vu,80000000,64038616,181038616,245077232,165077232
5367,DÃ¸d snÃ¸,800000,46742,2194020,2240762,1440762
3525,ET: The Extra-Terrestrial,10500000,435110554,792965326,1228075880,1217575880
559,Eagle Eye,80000000,101440743,180585259,282026002,202026002
1197,Early Man,50000000,8267544,45285890,53553434,3553434
1235,Earth,47000000,32011576,116773317,148784893,101784893
3261,Earth to Echo,13000000,38934842,42174545,81109387,68109387
4710,East is East,3000000,4170647,30438635,34609282,31609282
1186,Eastern Promises,50000000,17181265,56077088,73258353,23258353
3866,Easy A,8000000,58401464,76200721,134602185,126602185
3219,Easy Virtue,14000000,2656784,20537741,23194525,9194525
866,Eat Pray Love,60000000,80574010,206598789,287172799,227172799
2385,Eddie the Eagle,23000000,15789389,45060480,60849869,37849869
4969,Eden Lake,2000000,7321,4294373,4301694,2301694
907,Edge of Darkness,60000000,43313890,82812456,126126346,66126346
94,Edge of Tomorrow,178000000,100206256,370541256,470747512,292747512
2522,Edward Scissorhands,20000000,53976987,53976987,107953974,87953974
1403,Eight Below,40000000,81612565,120455994,202068559,162068559
1960,Eight Legged Freaks,30000000,17266505,36722311,53988816,23988816
4894,Eighth Grade,2000000,13539710,14341016,27880726,25880726
2937,El Laberinto del Fauno,16000000,37634615,87041569,124676184,108676184
5773,El Mariachi,7000,2040920,2041928,4082848,4075848
5022,El crimen de padre Amaro,1800000,5719000,5719000,11438000,9638000
4506,El orfanato,4000000,7159147,79250193,86409340,82409340
4607,El secreto de sus ojos,3500000,6391436,40527719,46919155,43419155
3840,Election,8500000,14943582,17202854,32146436,23646436
811,Elektra,65000000,24409722,56824633,81234355,16234355
4729,Elephant,3000000,1266955,10051516,11318471,8318471
1788,Elf,32000000,173840591,220678483,394519074,362519074
2232,Elizabeth,25000000,30082699,82150642,112233341,87233341
1037,Elizabeth: The Golden Age,55000000,16285240,74870866,91156106,36156106
1053,Elizabethtown,54000000,26850426,50719373,77569799,23569799
1706,Ella Enchanted,35000000,22913677,22913677,45827354,10827354
3167,Elle s'appelait Sarah,14500000,7691700,25480031,33171731,18671731
4691,Elmer Gantry,3000000,10400000,10400000,20800000,17800000
291,Elysium,120000000,93050117,286192091,379242208,259242208
4196,Emma,5900000,22231658,37831658,60063316,54163316
4595,Empire,3500000,17504595,18495444,36000039,32500039
3589,Employee of the Month,10000000,28444855,38364855,66809710,56809710
497,Enchanted,85000000,127706877,340384141,468091018,383091018
385,End of Days,100000000,66889043,212026975,278916018,178916018
3028,End of Watch,15000000,41003371,57586606,98589977,83589977
3628,End of the Spear,10000000,11748661,11924041,23672702,13672702
335,Ender's Game,110000000,61737191,127983283,189720474,79720474
2581,Endless Love,20000000,23438250,34718173,58156423,38156423
510,Enemy at the Gates,85000000,51396781,96971293,148368074,63368074
502,Enemy of the State,85000000,111549836,250649836,362199672,277199672
1567,Enough,38000000,39177215,50970660,90147875,52147875
3887,Enough Said,8000000,17550872,25621449,43172321,35172321
1929,Entourage,30000000,32363404,46438538,78801942,48801942
767,Entrapment,66000000,87707396,211700000,299407396,233407396
4650,Entre les murs,3250000,3766810,34114067,37880877,34630877
2627,Envy,20000000,13548322,14566246,28114568,8114568
376,Epic,100000000,107518682,262794441,370313123,270313123
2539,Epic Movie,20000000,39739367,86858578,126597945,106597945
382,Eragon,100000000,75030163,249488115,324518278,224518278
377,Eraser,100000000,101295562,234400000,335695562,235695562
5681,Eraserhead,100000,7000000,7014590,14014590,13914590
1094,Erin Brockovich,50000000,125548685,257805243,383353928,333353928
1427,Escape From Planet Earth,40000000,57012977,74156610,131169587,91169587
736,Escape Plan,70000000,25135965,103735965,128871930,58871930
3869,Escape from Alcatraz,8000000,43000000,43000000,86000000,78000000
1172,Escape from L.A.,50000000,25426861,25426861,50853722,853722
4125,Escape from New York,6000000,25244700,25245925,50490625,44490625
4819,Escape from the Planet of the Apes,2500000,12300000,12300000,24600000,22100000
2553,Eternal Sunshine of the Spotless Mind,20000000,34366518,72570762,106937280,86937280
2254,Eurotrip,25000000,17718223,20718223,38436446,13436446
108,Evan Almighty,175000000,100289690,174131329,274421019,99421019
4299,Eve's Bayou,5000000,14843425,14843425,29686850,24686850
2126,Ever After: A Cinderella Story,26000000,65705772,65705772,131411544,105411544
802,Everest,65000000,43482270,221297061,264779331,199779331
2644,Everyone Says I Love You,20000000,9725847,34600000,44325847,24325847
4349,Everything Must Go,5000000,2712131,2821010,5533141,533141
4892,Everything You Always Wanted to Know,2000000,18016290,18016290,36032580,34032580
3569,"Everything, Everything",10000000,34121140,61603136,95724276,85724276
2876,Evil Dead,17000000,54239856,97778356,152018212,135018212
4608,Evil Dead II,3500000,5923044,5926177,11849221,8349221
1020,Evita,55000000,50047179,151947179,201994358,146994358
588,Evolution,80000000,38311134,98341932,136653066,56653066
3271,Ex Machina,13000000,25440971,38358392,63799363,50799363
1014,Executive Decision,55000000,56679192,122079192,178758384,123758384
5748,Exeter,25000,0,489792,489792,464792
1771,Exit Wounds,33000000,51758599,79958599,131717198,98717198
4485,Exodus,4000000,21750000,21750000,43500000,39500000
215,Exodus: Gods and Kings,140000000,65014513,268314513,333329026,193329026
3193,Exorcist II: The Heretic,14000000,25011000,25011000,50022000,36022000
616,Exorcist: The Beginning,78000000,41814863,43957541,85772404,7772404
5075,Exotica,1500000,5046118,5046118,10092236,8592236
3959,Extract,7500000,10823158,10849158,21672316,14172316
1469,Extremely Loud and Incredibly Close,40000000,31847881,55247881,87095762,47095762
2573,Eye for an Eye,20000000,26792700,26792700,53585400,33585400
3274,Eye in the Sky,13000000,18704596,35402802,54107398,41107398
3077,Eye of the Beholder,15000000,16500786,18260865,34761651,19761651
796,Eyes Wide Shut,65000000,55691208,104267443,159958651,94958651
3487,F.I.S.T,11000000,20388920,20388920,40777840,29777840
554,Face/Off,80000000,112276146,241200000,353476146,273476146
5680,Facing the Giants,100000,10178331,10243159,20421490,20321490
4328,Fahrenheit 11/9,5000000,6352306,6653715,13006021,8006021
4114,Fahrenheit 9/11,6000000,119114517,221148959,340263476,334263476
1104,Failure to Launch,50000000,88715192,128402901,217118093,167118093
2802,Fame,18000000,22455510,80227619,102683129,84683129
4686,Family Plot,3000000,13200000,13200000,26400000,23400000
4868,Fantasia,2280000,83320000,83320000,166640000,164360000
576,Fantasia 2000 (Theatrical Release),80000000,69610858,69618634,139229492,59229492
84,Fantastic Beasts and Where to Find Them,180000000,234037575,802402853,1036440428,856440428
59,Fantastic Beasts: The Crimes of Grindelwald,200000000,159555901,652220086,811775987,611775987
484,Fantastic Four,87500000,154696080,333132750,487828830,400328830
286,Fantastic Four: Rise of the Silver Surfer,120000000,131921738,289480691,421402429,301402429
1495,Fantastic Mr. Fox,40000000,21002919,47083412,68086331,28086331
3234,Far From Heaven,13500000,15901849,29027914,44929763,31429763
4004,Fargo,7000000,24567751,51204567,75772318,68772318
492,Fast & Furious,85000000,155064265,363064265,518128530,433128530
266,Fast Five,125000000,210031325,630163454,840194779,715194779
4426,Fast Times at Ridgemont High,4500000,27092880,27092880,54185760,49685760
139,Fast and Furious 6,160000000,238679850,789300444,1027980294,867980294
2352,Faster,24000000,23240020,35792945,59032965,35032965
1286,Fat Albert,45000000,48114556,48563556,96678112,51678112
3172,Fatal Attraction,14000000,156645693,320100000,476745693,462745693
2255,Father Figures,25000000,17501244,21038441,38539685,13539685
2760,Fear and Loathing in Las Vegas,18500000,10680275,13711903,24392178,5892178
3937,Feichang Xingyun,8000000,0,21970000,21970000,13970000
2336,Fences,24000000,57682904,64282881,121965785,97965785
5467,Feng kuang de shi tou,500000,0,3000000,3000000,2500000
313,Ferdinand,111000000,84410380,289847930,374258310,263258310
5132,Festen,1300000,1647780,1647780,3295560,1995560
1450,Fever Pitch,40000000,42071069,50071069,92142138,52142138
3769,Fiddler on the Roof,9000000,80500000,80500000,161000000,152000000
990,Fifty Shades Darker,55000000,114434010,381398492,495832502,440832502
996,Fifty Shades Freed,55000000,100407760,371350619,471758379,416758379
4314,Fifty Shades of Black,5000000,11686940,22113075,33800015,28800015
1377,Fifty Shades of Grey,40000000,166167230,570998101,737165331,697165331
805,Fight Club,65000000,37030102,100851705,137881807,72881807
2244,Fighting,25000000,23091010,32831707,55922717,30922717
3485,Fighting With My Family,11000000,22958583,39049922,62008505,51008505
5151,Filly Brown,1250000,2850357,2940411,5790768,4540768
2373,Final Destination,23000000,53302314,112036870,165339184,142339184
2133,Final Destination 2,26000000,46896664,90396664,137293328,111293328
2190,Final Destination 3,25000000,54098051,112798051,166896102,141896102
1448,Final Destination 5,40000000,42587643,155011165,197598808,157598808
45,Finding Dory,200000000,486295561,1021215193,1507510754,1307510754
1335,Finding Forrester,43000000,51768623,80013623,131782246,88782246
424,Finding Nemo,94000000,380529370,936429370,1316958740,1222958740
2193,Finding Neverland,25000000,51676606,115036108,166712714,141712714
2607,Fired Up,20000000,17231291,18608570,35839861,15839861
2462,Firefox,21000000,45785720,45785720,91571440,70571440
5428,Fireproof,500000,33456317,33473297,66929614,66429614
3079,Firestarter,15000000,15136870,15136870,30273740,15273740
1136,Firewall,50000000,48751189,82751189,131502378,81502378
3181,First Blood,14000000,47212904,125212904,172425808,158425808
660,First Knight,75000000,37361412,127361412,164722824,89722824
905,First Man,60000000,44936545,105203825,150140370,90140370
4610,First Reformed,3500000,3448256,3874772,7323028,3823028
4735,Fish Tank,3000000,374675,5922292,6296967,3296967
2228,Fist Fight,25000000,32187017,40286416,72473433,47473433
3990,Five Feet Apart,7000000,45729221,80504421,126233642,119233642
5258,Fiza,1000000,623791,1179462,1803253,803253
1062,Flags of Our Fathers,53000000,33602376,63657941,97260317,44260317
1696,Flash Gordon,35000000,27107960,27107960,54215920,19215920
3988,Flashdance,7000000,90463574,201463574,291927148,284927148
2127,Flatliners,26000000,61308153,61308153,122616306,96616306
1961,Fled,30000000,17192205,19892205,37084410,7084410
3067,Flicka,15000000,21000147,21896367,42896514,27896514
1822,Flight,31000000,93772375,160558438,254330813,223330813
1001,Flightplan,55000000,89706988,214392904,304099892,249099892
2156,Flipper,25530000,20080020,30593313,50673333,25143333
4014,Flirting with Disaster,7000000,14853474,16149180,31002654,24002654
2021,Florence Foster Jenkins,29000000,27383770,56000339,83384109,54384109
564,Flubber,80000000,92993801,177993801,270987602,190987602
195,Flushed Away,149000000,64665672,179357126,244022798,95022798
2269,Fly Me To the Moon,25000000,14543943,43530281,58074224,33074224
798,Focus,65000000,53862963,168065700,221928663,156928663
5778,Following,6000,48482,240495,288977,282977
5237,"Food, Inc.",1000000,4417674,4731944,9149618,8149618
680,Fool's Gold,72500000,70231041,109362966,179594007,107094007
5050,Foolish,1600000,6026908,6026908,12053816,10453816
2338,Footloose,24000000,51802742,62989834,114792576,90792576
2466,For Colored Girls,21000000,37729698,38017873,75747571,54747571
3413,For Greater Glory: The True Story of Cristiada,12000000,5669081,10026255,15695336,3695336
1156,For Love of the Game,50000000,35188640,46112640,81301280,31301280
2048,For Your Eyes Only,28000000,54800000,195300000,250100000,222100000
5347,"For a Good Time, Call",850000,1251749,1386088,2637837,1787837
4326,Force 10 from Navarone,5000000,7100000,7100000,14200000,9200000
4597,Forever My Girl,3500000,16376066,16376066,32752132,29252132
1875,Forgetting Sarah Marshall,30000000,63172463,105173042,168345505,138345505
981,Forrest Gump,55000000,330151138,679850637,1010001775,955001775
3412,Fortress,12000000,6730578,46730578,53461156,41461156
1866,Four Brothers,30000000,74494381,92494381,166988762,136988762
553,Four Christmases,80000000,120146040,168311558,288457598,208457598
4511,Four Rooms,4000000,4301000,4301000,8602000,4602000
4424,Four Weddings and a Funeral,4500000,52700832,242895809,295596641,291096641
3494,Frailty,11000000,13110448,19947280,33057728,22057728
4713,Frances Ha,3000000,4067398,11262769,15330167,12330167
1302,Frankenstein,45000000,22006296,112006296,134012592,89012592
1547,Frankenweenie,39000000,35287788,81150788,116438576,77438576
2120,Freaky Friday,26000000,110222438,160822438,271044876,245044876
3082,Freddy Got Fingered,15000000,14249005,14249005,28498010,13498010
2172,Freddy vs. Jason,25000000,82622655,114576403,197199058,172199058
4267,Freddyâs Dead: The Final Nightmare,5000000,34872033,34872033,69744066,64744066
1015,Free Birds,55000000,55750480,110387072,166137552,111137552
2507,Free Willy,20000000,77698625,153698625,231397250,211397250
2467,Freedom Writers,21000000,36605602,43632609,80238211,59238211
4601,Frenzy,3500000,12600000,12600000,25200000,21700000
1830,Frequency,31000000,44983704,68079671,113063375,82063375
3377,Frida,12000000,25885000,56131239,82016239,70016239
4592,Friday,3500000,27467564,27936778,55404342,51904342
3571,Friday After Next,10000000,33253609,33526835,66780444,56780444
1876,Friday Night Lights,30000000,61255921,61950770,123206691,93206691
5424,Friday the 13th,550000,39754601,59754601,99509202,98959202
5147,Friday the 13th Part 2,1250000,21722776,21722776,43445552,42195552
4869,Friday the 13th Part 3,2250000,36690067,36690067,73380134,71130134
4801,Friday the 13th Part IV: The Final Chapter,2600000,32980880,32980880,65961760,63361760
4871,Friday the 13th Part V: A New Beginning,2200000,21930418,21930418,43860836,41660836
4678,Friday the 13th Part VI: Jason Lives,3000000,19472057,19472057,38944114,35944114
4786,Friday the 13th Part VII: The New Blood,2800000,19170001,19170001,38340002,35540002
4301,Friday the 13th Part VIII: Jason Takes Manhattan,5000000,14343976,14343976,28687952,23687952
3469,Fried Green Tomatoes,11000000,81204830,81204830,162409660,151409660
3747,Friend Request,9900000,3759078,11310835,15069913,5169913
1654,Friends with Benefits,35000000,55802754,146595891,202398645,167398645
4091,Friends with Money,6500000,13368437,18110152,31478589,24978589
1957,Fright Night,30000000,18298649,40520649,58819298,28819298
2576,From Dusk Till Dawn,20000000,25728961,25732986,51461947,31461947
1687,From Hell,35000000,31598308,68712365,100310673,65310673
5048,From Here to Eternity,1650000,30500000,30500000,61000000,59350000
1074,From Paris With Love,52000000,24077427,53139168,77216595,25216595
4887,From Russia With Love,2000000,24800000,78900000,103700000,101700000
2023,Frost/Nixon,29000000,18622031,28452945,47074976,18074976
155,Frozen,150000000,400738009,1272469910,1673207919,1523207919
5243,Frozen River,1000000,2511476,6030129,8541605,7541605
5337,Fruitvale Station,900000,16098998,17549645,33648643,32748643
4923,Full Frontal,2000000,2512846,3438804,5951650,3951650
1901,Full Metal Jacket,30000000,45015999,45015999,90031998,60031998
3209,Fun Size,14000000,9409538,11166615,20576153,6576153
214,Fun With Dick And Jane,140000000,110550000,203018919,313568919,173568919
5739,Funny Ha Ha,30000,77070,82698,159768,129768
681,Funny People,72500000,51855045,71880305,123735350,51235350
66,Furious 7,190000000,353007020,1518722794,1871729814,1681729814
1716,Furry Vengeance,35000000,17630465,39340177,56970642,21970642
567,Fury,80000000,85817906,210315681,296133587,216133587
184,G-Force,150000000,119436770,292817841,412254611,262254611
1138,G.I. Jane,50000000,48169156,48169156,96338312,46338312
212,G.I. Joe: Retaliation,140000000,122523060,375740705,498263765,358263765
105,G.I. Joe: The Rise of Cobra,175000000,150201498,302469017,452670515,277670515
5716,Gabriela,50000,2335352,2335352,4670704,4620704
1762,Gake no ue no Ponyo,34000000,15090399,205312666,220403065,186403065
4223,Galaxina,5500000,4865000,4865000,9730000,4230000
1268,Galaxy Quest,45000000,71423726,90523726,161947452,116947452
4706,Gallipoli,3000000,5732587,5732587,11465174,8465174
1593,Game Night,37000000,69179066,117378084,186557150,149557150
1181,Gamer,50000000,20534907,42002029,62536936,12536936
2413,Gandhi,22000000,52767889,127767889,180535778,158535778
410,Gangs of New York,97000000,77730500,183124621,260855121,163855121
903,Gangster Squad,60000000,46000903,104100903,150101806,90101806
4814,Garden State,2500000,26782316,36028802,62811118,60311118
929,Garfield: A Tail of Two Kitties,60000000,28426747,147985373,176412120,116412120
1115,Garfield: The Movie,50000000,75367693,208094550,283462243,233462243
4902,Gentleman's Agreement,2000000,7800000,7800000,15600000,13600000
4554,Geograf globus propil,4000000,0,4454853,4454853,454853
2755,George A. Romero's Land of the Dead,18975000,20700082,47751015,68451097,49476097
992,George Of The Jungle,55000000,105263257,174463257,279726514,224726514
5727,George Washington,42000,241816,342722,584538,542538
2597,Georgia Rule,20000000,18882880,20819601,39702481,19702481
398,Geostorm,100000000,33700160,220796009,254496169,154496169
1396,Get Hard,40000000,90411453,106511453,196922906,156922906
1421,Get Him to the Greek,40000000,61153526,91455875,152609401,112609401
4022,Get Low,7000000,9176933,10828305,20005238,13005238
4248,Get Out,5000000,176040665,255367951,431408616,426408616
3629,Get Over It,10000000,11560259,19860259,31420518,21420518
4937,Get Real,2000000,1152411,1152411,2304822,304822
1473,Get Rich or Die Tryin',40000000,30981850,46666955,77648805,37648805
1834,Get Shorty,30250000,72021008,115021008,187042016,156792016
549,Get Smart,80000000,130319208,226739416,357058624,277058624
1934,Get on Up,30000000,30569935,33339868,63909803,33909803
4852,Get on the Bus,2400000,5691854,5691854,11383708,8983708
2819,Getaway,18000000,10501938,11813989,22315927,4315927
2404,Ghost,22000000,217631306,517600000,735231306,713231306
4921,Ghost Dog: The Way of the Samurai,2000000,3330230,10672492,14002722,12002722
288,Ghost Rider,120000000,115802596,229545589,345348185,225348185
972,Ghost Rider: Spirit of Vengeance,57000000,51774002,149217355,200991357,143991357
2565,Ghost Ship,20000000,30113491,68349884,98463375,78463375
2630,Ghost Town,20000000,13367624,29958228,43325852,23325852
4221,Ghost World,5500000,6217849,8761608,14979457,9479457
339,Ghost in the Shell,110000000,40563557,167910690,208474247,98474247
203,Ghostbusters,144000000,128350574,229008658,357359232,213359232
4003,Gifted,7000000,24801212,36964656,61765868,54765868
3401,Girl with a Pearl Earring,12000000,11634362,43274797,54909159,42909159
2349,"Girl, Interrupted",24000000,28871190,28871190,57742380,33742380
2035,Girls Trip,28000000,115108515,140886353,255994868,227994868
355,Gladiator,103000000,187683805,457683805,645367610,542367610
2499,Glass,20000000,111035005,245303505,356338510,336338510
3789,Glee: The 3D Concert Movie,9000000,11862398,17462398,29324796,20324796
3323,Glengarry Glen Ross,12500000,10725228,10725228,21450456,8950456
3845,Glitter,8500000,4273372,4273372,8546744,46744
2795,Glory,18000000,26593580,26593580,53187160,35187160
1906,Glory Road,30000000,42647449,42799060,85446509,55446509
1605,Gnomeo and Juliet,36000000,99967670,193737977,293705647,257705647
4090,Go!,6500000,16875273,28383441,45258714,38758714
5541,God's Army,300000,2637726,2652515,5290241,4990241
4606,Gods and Monsters,3500000,6451628,6451628,12903256,9403256
217,Gods of Egypt,140000000,31153464,138836756,169990220,29990220
1968,Godsend,30000000,14334645,16910708,31245353,1245353
273,Godzilla,125000000,136314294,376000000,512314294,387314294
5223,Godzilla 2000,1000000,10037390,10037390,20074780,19074780
124,Godzilla: King of the Monsters,170000000,85576941,299276941,384853882,214853882
5189,Godâs Not Dead,1150000,60755732,63777092,124532824,123382824
4284,Godâs Not Dead 2,5000000,20773069,23551286,44324355,39324355
2339,Going in Style,24000000,45018541,78672579,123691120,99691120
1810,Going the Distance,32000000,17804299,43603990,61408289,29408289
852,Goldeneye,60000000,106429941,356429941,462859882,402859882
4667,Goldfinger,3000000,51100000,124900000,176000000,173000000
4110,Gomorra,6200000,1579146,37339594,38918740,32718740
835,Gone Girl,61000000,167767189,368567189,536334378,475334378
354,Gone in 60 Seconds,103300000,101643008,232643008,334286016,230986016
4567,Gone with the Wind,3900000,198680470,390525192,589205662,585305662
2741,"Gone, Baby, Gone",19000000,20300218,34352162,54652380,35652380
2883,Good Boy!,17000000,37667746,45312217,82979963,65979963
4105,"Good Bye, Lenin!",6400000,4063859,79384539,83448398,77048398
2221,Good Luck Chuck,25000000,35017297,59183821,94201118,69201118
3244,Good Morning Vietnam,13000000,123922370,123922370,247844740,234844740
3997,"Good Night, and Good Luck",7000000,31501218,56586901,88088119,81088119
3536,Good Will Hunting,10000000,138433435,225925989,364359424,354359424
2200,Goodfellas,25000000,46743809,46777347,93521156,68521156
957,Goosebumps,58000000,80069458,158905324,238974782,180974782
1662,Goosebumps 2: Haunted Halloween,35000000,46697321,93291478,139988799,104988799
2787,Gosford Park,18000000,41300105,41300105,82600210,64600210
3213,Gossip,14000000,5108820,12591270,17700090,3700090
1422,Gothika,40000000,59588068,141484812,201072880,161072880
3663,Gotti,10000000,4286367,6089100,10375467,375467
5042,Grace Unplugged,1700000,2507159,2507159,5014318,3314318
