,movie,production_budget,domestic_gross,worldwide_gross,total_gross,profit
2345,Return to Me,24000000,32662299,32662299,65324598,41324598
1300,Revolutionary Road,45000000,22951340,79604820,102556160,57556160
2794,Ricki and the Flash,18000000,26839498,41166033,68005531,50005531
1565,Riddick,38000000,42025135,94763758,136788893,98788893
2166,Ride Along,25000000,134202565,153733800,287936365,262936365
1394,Ride Along 2,40000000,90862685,124827316,215690001,175690001
4804,Riding Giants,2600000,2276368,3292333,5568701,2968701
1236,Riding in Cars with Boys,47000000,29781453,29781453,59562906,12562906
912,Righteous Kill,60000000,40081410,78481410,118562820,58562820
2237,Rings,25000000,27793018,82917283,110710301,85710301
445,Rio,90000000,143619809,487519809,631139618,541139618
248,Rio 2,130000000,131538435,492846291,624384726,494384726
201,Rise of the Guardians,145000000,103412758,306900902,410313660,265313660
430,Rise of the Planet of the Apes,93000000,176760185,470986200,647746385,554746385
2547,Risen,20000000,36880033,46255763,83135796,63135796
5003,River's Edge,1900000,4600000,4600000,9200000,7300000
5389,Rize,700000,3278611,4857731,8136342,7436342
1455,Ri¢hie Ri¢h,40000000,38087756,38087756,76175512,36175512
3582,Road House,10000000,30050028,30050028,60100056,50100056
2929,Road Trip,16000000,68525609,119739110,188264719,172264719
556,Road to Perdition,80000000,104054514,183354514,287409028,207409028
4957,Roadside Romeo,2000000,55202,2046090,2101292,101292
2062,Rob Roy,28000000,31390587,31390587,62781174,34781174
408,Robin Hood,99000000,30824628,84747441,115572069,16572069
1085,Robin Hood: Prince of Thieves,50000000,165493908,390500000,555993908,505993908
4325,Robin and Marian,5000000,8000000,8000000,16000000,11000000
3287,Robinson Crusoe,13000000,8005586,42446455,50452041,37452041
295,RoboCop,120000000,58607007,242981799,301588806,181588806
4825,Robot & Frank,2500000,3317468,4934356,8251824,5751824
550,Robots,80000000,128200012,260700012,388900024,308900024
728,Rock of Ages,70000000,38518613,61031932,99550545,29550545
5208,Rocket Singh: Salesman of the Year,1070000,164649,5348767,5513416,4443416
1370,Rocketman,41000000,57342725,108642725,165985450,124985450
2828,RocknRolla,18000000,5700626,27794339,33494965,15494965
5210,Rocky,1000000,117235147,225000000,342235147,341235147
2334,Rocky Balboa,24000000,70269899,156229050,226498949,202498949
5666,Roger & Me,140000,6706368,6706368,13412736,13272736
44,Rogue One: A Star Wars Story,200000000,532177324,1049102856,1581280180,1381280180
2042,Role Models,28000000,67300955,94500826,161801781,133801781
3610,Roll Bounce,10000000,17380866,17433072,34813938,24813938
2439,"Roman J. Israel, Esq.",22000000,11962712,12967012,24929724,2929724
2188,Romeo Must Die,25000000,55973336,91036760,147010096,122010096
3166,Romeo+Juliet,14500000,46338728,147542381,193881109,179381109
1022,Ronin,55000000,41610884,70692101,112302985,57302985
3279,Room,13000000,14677674,36262783,50940457,37940457
4652,Rosemary's Baby,3200000,33395426,33395426,66790852,63590852
2586,Rough Night,20000000,22105643,46844357,68950000,48950000
3380,Rounders,12000000,22921898,22921898,45843796,33843796
5454,Rubber,500000,100370,680914,781284,281284
5361,Ruby in Paradise,800000,1001437,1001437,2002874,1202874
2211,Rugrats Go Wild,25000000,39402572,55443032,94845604,69845604
1863,Rugrats in Paris,30000000,76501438,103284813,179786251,149786251
880,Rules of Engagement,60000000,61322858,71719931,133042789,73042789
3955,Rumble in the Bronx,7500000,32281907,36238752,68520659,61020659
725,Rumor Has It,70000000,42996140,88933562,131929702,61929702
1169,Run All Night,50000000,26461644,66961644,93423288,43423288
3656,"Run, Fatboy, Run",10000000,6003262,33512260,39515522,29515522
696,Runaway Bride,70000000,152257509,310138178,462395687,392395687
1952,Runner Runner,30000000,19316646,60512680,79829326,49829326
3411,Running With Scissors,12000000,6860000,8706701,15566701,3566701
1570,Rush,38000000,26947624,98230839,125178463,87178463
1630,Rush Hour,35000000,141186864,245300000,386486864,351486864
440,Rush Hour 2,90000000,226164286,347425832,573590118,483590118
86,Rush Hour 3,180000000,140125968,256585882,396711850,216711850
3611,Rushmore,10000000,17105219,19080435,36185654,26185654
703,S.W.A.T.,70000000,116877597,207154748,324032345,254032345
959,Sabrina,58000000,53458319,87100000,140558319,82558319
1777,Safe,33000000,17142080,41495213,58637293,25637293
2040,Safe Haven,28000000,71399120,94050951,165450071,137450071
498,Safe House,85000000,126181630,208542162,334723792,249723792
5376,Safety Not Guaranteed,750000,4010957,4422318,8433275,7683275
202,Sahara,145000000,68671925,121671925,190343850,45343850
5371,Saints and Soldiers,780000,1310470,1310470,2620940,1840940
249,Salt,130000000,118311368,290650494,408961862,278961862
4439,Salvando al Soldado Perez,4500000,1400726,9330465,10731191,6231191
4094,Same Kind of Different as Me,6500000,6423605,6423605,12847210,6347210
2320,Sammy's avonturen: De geheime doorgang,25000000,0,71594792,71594792,46594792
4517,Samsara,4000000,2672413,5966671,8639084,4639084
318,San Andreas,110000000,155190832,456258539,611449371,501449371
5131,San Francisco,1300000,2868000,5273000,8141000,6841000
1944,Sanctum,30000000,23209310,108957098,132166408,102166408
5229,Sands of Iwo Jima,1000000,7800000,7800000,15600000,14600000
4794,Sardaar Ji,2700000,0,8200000,8200000,5500000
5044,Saul fia,1700000,1777043,9696537,11473580,9773580
2727,Sausage Party,19000000,97670358,141344255,239014613,220014613
1287,Savages,45000000,47323100,82513490,129836590,84836590
3246,Save the Last Dance,13000000,91038276,122244329,213282605,200282605
4323,Saved!,5000000,8886160,10206551,19092711,14092711
4494,Saving Grace,4000000,12178602,27786849,39965451,35965451
1636,Saving Mr. Banks,35000000,83299761,114962525,198262286,163262286
770,Saving Private Ryan,65000000,216335085,485035085,701370170,636370170
2430,Saving Silverman,22000000,19351569,25873142,45224711,23224711
5156,Saw,1200000,55968727,103880027,159848754,158648754
2878,Saw 3D,17000000,45710178,133735284,179445462,162445462
4251,Saw II,5000000,87025093,152925093,239950186,234950186
3540,Saw III,10000000,80238724,163876815,244115539,234115539
3546,Saw IV,10000000,63300095,135759694,199059789,189059789
3516,Saw V,10800000,56746769,118209778,174956547,164156547
3483,Saw VI,11000000,27693292,69752402,97445694,86445694
2202,Scarface,25000000,44942821,44942821,89885642,64885642
2725,Scary Movie,19000000,157019771,277200000,434219771,415219771
1269,Scary Movie 2,45000000,71277420,141189101,212466521,167466521
1255,Scary Movie 3,45000000,110000082,155200000,265200082,220200082
1395,Scary Movie 4,40000000,90710620,178710620,269421240,229421240
2560,Scary Movie V,20000000,32015787,78613981,110629768,90629768
2168,Schindlerâs List,25000000,96898818,322197132,419095950,394095950
4137,School Daze,6000000,14545844,14545844,29091688,23091688
2603,School for Scoundrels,20000000,17807569,17807569,35615138,15615138
2505,School of Rock,20000000,81261177,131944672,213205849,193205849
525,Scooby-Doo,84000000,153294164,276294164,429588328,345588328
2170,Scooby-Doo 2: Monsters Unleashed,25000000,84185387,181185387,265370774,240370774
4498,Scoop,4000000,10525717,40103262,50628979,46628979
3124,Scouts Guide to the Zombie Apocalypse,15000000,3703046,15554855,19257901,4257901
3000,Scream,15000000,103046663,173046663,276093326,261093326
2332,Scream 2,24000000,101363301,172363301,273726602,249726602
1397,Scream 3,40000000,89138076,161838076,250976152,210976152
1454,Scream 4,40000000,38180928,95989590,134170518,94170518
3410,Screwed,12000000,6982680,6982680,13965360,1965360
1793,Scrooged,32000000,59450353,59450353,118900706,86900706
3121,Se jie,15000000,4604982,65167430,69772412,54772412
1854,Se7en,30000000,100125643,328125643,428251286,398251286
4330,Sea Rex 3D: Journey to a Prehistoric World,5000000,6096582,16515203,22611785,17611785
2728,Sea of Love,19000000,58571513,58571513,117143026,98143026
486,Seabiscuit,86000000,120277854,148715342,268993196,182993196
1488,Season of the Witch,40000000,24827228,91126600,115953828,75953828
2982,Second Act,15700000,39282227,63288854,102571081,86871081
1911,Secondhand Lions,30000000,42070939,47902566,89973505,59973505
1440,Secret Window,40000000,47958031,92111551,140069582,100069582
2593,Secret in Their Eyes,20000000,20180155,32608019,52788174,32788174
1652,Secretariat,35000000,59699513,60376247,120075760,85075760
4512,Secretary,4000000,4046737,9413956,13460693,9460693
4427,Secrets & Lies,4500000,13417292,13417292,26834584,22334584
3892,See No Evil,8000000,15032800,18828036,33860836,25860836
2940,See Spot Run,16000000,33357476,43057552,76415028,60415028
2024,Seed of Chucky,29000000,17016190,24716190,41732380,12732380
3647,Seeking a Friend for the End of the World,10000000,7078738,11766959,18845697,8845697
2551,Selena,20000000,35450113,35450113,70900226,50900226
2147,Self/Less,26000000,12279691,33667319,45947010,19947010
2524,Selma,20000000,52076908,66776576,118853484,98853484
1030,Semi-Pro,55000000,33479698,43980363,77460061,22460061
2744,Sen to Chihiro no Kamikakushi,19000000,10049886,274949886,284999772,265999772
2920,Sense and Sensibility,16500000,42993774,134993774,177987548,161487548
5195,Serbuan maut,1100000,4105123,9297407,13402530,12302530
2052,Serendipity,28000000,50255310,77477297,127732607,99732607
1549,Serenity,39000000,25514517,40319440,65833957,26833957
3288,Serial Mom,13000000,7881335,7881335,15762670,2762670
2025,Serving Sara,29000000,16930185,20146150,37076335,8076335
5090,Session 9,1500000,378176,1619602,1997778,497778
3773,Set It Off,9000000,36049108,36049108,72098216,63098216
1051,Seven Pounds,54000000,69951824,166617328,236569152,182569152
3235,Seven Psychopaths,13500000,15024049,33035736,48059785,34559785
729,Seven Years in Tibet,70000000,37945884,131445884,169391768,99391768
423,Seventh Son,95000000,17725785,108874967,126600752,31600752
1453,Sex Tape,40000000,38543473,126069509,164612982,124612982
968,Sex and the City,57500000,152647258,415247258,567894516,510394516
415,Sex and the City 2,95000000,95347692,294680778,390028470,295028470
5157,"Sex, Lies, and Videotape",1200000,24741667,36741667,61483334,60283334
4465,Sexy Beast,4300000,6946056,10158355,17104411,12804411
1548,Sgt. Bilko,39000000,30356589,37956589,68313178,29313178
4078,Shade,6800000,25032,9533964,9558996,2758996
3898,Shadow of the Vampire,8000000,8279017,8279017,16558034,8558034
2423,Shadowlands,22000000,25842377,25842377,51684754,29684754
2122,Shakespeare in Love,26000000,100317794,279500000,379817794,353817794
5118,Shalako,1455000,2620000,2620000,5240000,3785000
1425,Shall We Dance?,40000000,57887882,118097882,175985764,135985764
1412,Shallow Hal,40000000,70836296,70836296,141672592,101672592
4096,Shame,6500000,4002293,20412841,24415134,17915134
1122,Shanghai Knights,50000000,60470220,88316835,148787055,98787055
1013,Shanghai Noon,55000000,56932305,71189835,128122140,73122140
3702,Shaolin Soccer,10000000,488872,42776032,43264904,33264904
2251,Shark Night 3D,25000000,18877153,18877153,37754306,12754306
634,Shark Tale,75000000,161412000,371917043,533329043,458329043
4305,Shaun of the Dead,5000000,13542874,30332385,43875259,38875259
2250,Shaun the Sheep,25000000,19375982,101925161,121301143,96301143
496,Shazam!,85000000,139606856,362899733,502506589,417506589
5618,She Done Him Wrong,200000,2000000,2000000,4000000,3800000
5051,She Wore a Yellow Ribbon,1600000,5400000,5400000,10800000,9200000
3545,She's All That,10000000,63465522,63465522,126931044,116931044
5646,She's Gotta Have It,175000,7137502,7137502,14275004,14100004
2561,She's Out of My League,20000000,32010860,48680977,80691837,60691837
2223,She's the Man,25000000,33889159,55279608,89168767,64168767
4604,She's the One,3500000,9482579,13795053,23277632,19777632
953,Sherlock Gnomes,59000000,43242871,87527651,130770522,71770522
441,Sherlock Holmes,90000000,209028679,498438212,707466891,617466891
268,Sherlock Holmes: A Game of Shadows,125000000,186848418,535663443,722511861,597511861
2399,Shi Yue Wei Cheng,23000000,0,44195779,44195779,21195779
5447,Shichinin no samurai,500000,271736,271736,543472,43472
4216,Shine,5500000,35811509,36672493,72484002,66984002
5233,Shine a Light,1000000,5505267,16173879,21679146,20679146
5438,Sholem Aleichem: Laughing in the Darkness,500000,1131261,1131261,2262522,1762522
1550,Shoot 'Em Up,39000000,12796824,26796824,39593648,593648
901,Shooter,60000000,47003582,95538560,142542142,82542142
3961,Shopgirl,7500000,10284523,11758418,22042941,14542941
5621,Short Cut to Nirvana: Kumbh Mela,200000,381225,439651,820876,620876
4930,Shortbus,2000000,1985292,1985292,3970584,1970584
2590,Shorts,20000000,20919166,29870801,50789967,30789967
5586,Shotgun Stories,250000,46026,284174,330200,80200
4860,Show Boat,2300000,11000000,11000000,22000000,19700000
1496,Showgirls,40000000,20350754,37750754,58101508,18101508
518,Showtime,85000000,37948765,78948765,116897530,31897530
1082,Shrek,50000000,267655011,491812794,759467805,709467805
692,Shrek 2,70000000,441226247,937008132,1378234379,1308234379
126,Shrek Forever After,165000000,238736787,756244673,994981460,829981460
136,Shrek the Third,160000000,322719944,807330936,1130050880,970050880
3649,Shut In,10000000,6900335,11360665,18261000,8261000
3878,Shutter,8000000,25928550,47782426,73710976,65710976
551,Shutter Island,80000000,128012934,299461782,427474716,347474716
1899,Sicario,30000000,46889293,84393749,131283042,101283042
1658,Sicario: Day of the Soldado,35000000,50065850,75885196,125951046,90951046
3778,Sicko,9000000,24538513,36535837,61074350,52074350
5244,Sidewalks of New York,1000000,2402459,3575308,5977767,4977767
2871,Sideways,17000000,71502303,109793192,181295495,164295495
691,Signs,70702619,227969295,408269295,636238590,565535971
1141,Silent Hill,50000000,46982632,94704227,141686859,91686859
2604,Silent Hill: Revelation 3D,20000000,17530219,55975672,73505891,53505891
4896,Silent House,2000000,12739737,16610760,29350497,27350497
4460,Silent Movie,4400000,36145695,36145695,72291390,67891390
3847,Silmido,8500000,298347,30298347,30596694,22096694
4019,Silver Bullet,7000000,10803211,10803211,21606422,14606422
2458,Silver Linings Playbook,21000000,132092958,236412453,368505411,347505411
2139,Silverado,26000000,33200000,33200000,66400000,40400000
5142,Simon,1300000,4055,1738663,1742718,442718
2601,Simon Birch,20000000,18253415,18310591,36564006,16564006
4159,Simply Irresistible,6000000,4398989,4398989,8797978,2797978
1408,Sin City,40000000,74103820,158527918,232631738,192631738
932,Sinbad: Legend of the Seven Seas,60000000,26483452,80767884,107251336,47251336
628,Sing,75000000,270329045,634454789,904783834,829783834
4810,Singin' in the Rain,2540000,7200000,7200000,14400000,11860000
4668,Sinister,3000000,48086903,87727807,135814710,132814710
3590,Sinister 2,10000000,27740955,54104225,81845180,71845180
1856,Sisters,30000000,87044645,106030660,193075305,163075305
573,"Six Days, Seven Nights",80000000,74339294,164800000,239139294,159139294
730,Sky Captain and the World of Tomorrow,70000000,37760080,49730854,87490934,17490934
1646,Sky High,35000000,63939454,83109359,147048813,112048813
51,Skyfall,200000000,304360277,1110526981,1414887258,1214887258
3598,Skyline,10000000,21416355,68264973,89681328,79681328
277,Skyscraper,125000000,68420120,304115534,372535654,247535654
5752,Slacker,23000,1227508,1227508,2455016,2432016
5252,Slam,1000000,1009819,1087521,2097340,1097340
4891,Sleeper,2000000,18344729,18344729,36689458,34689458
1329,Sleepers,44000000,53300852,165600852,218901704,174901704
3637,Sleepover,10000000,9408183,9408183,18816366,8816366
705,Sleepy Hollow,70000000,101068340,207068340,308136680,238136680
5571,Sleight,250000,3930990,3934450,7865440,7615440
3579,Slender Man,10000000,30564825,51723644,82288469,72288469
4142,Sliding Doors,6000000,11911200,58809149,70720349,64720349
4405,Sling Blade,4833610,24475416,34175000,58650416,53816806
2990,Slither,15250000,7802450,12930343,20732793,5482793
3173,Slumdog Millionaire,14000000,141330703,384530440,525861143,511861143
4332,Slums of Beverly Hills,5000000,5502773,5502773,11005546,6005546
1428,Small Soldiers,40000000,55143823,71743823,126887646,86887646
2806,Small Time Crooks,18000000,17266359,29934477,47200836,29200836
568,Smallfoot,80000000,83240103,213691277,296931380,216931380
5729,Smiling Fish and Goat on Fire,40000,277233,277233,554466,514466
4906,Smoke Signals,2000000,6719300,7756617,14475917,12475917
2884,Smokin' Aces,17000000,35662731,57263440,92926171,75926171
904,Smurfs: The Lost Village,60000000,45020282,197578586,242598868,182598868
4467,Snabba Cash,4300000,188870,10212403,10401273,6101273
677,Snake Eyes,73000000,55591409,103891409,159482818,86482818
1774,Snakes on a Plane,33000000,34020814,62020814,96041628,63041628
3581,Snatch,10000000,30093107,83593107,113686214,103686214
1350,Snatched,42000000,45852178,57852177,103704355,61704355
4061,Snezhnaya koroleva,7000000,0,15193977,15193977,8193977
3025,Snitch,15000000,42930462,57907734,100838196,85838196
3250,Snow Day,13000000,60008303,62452927,122461230,109461230
1791,Snow Dogs,32000000,81150692,116898028,198048720,166048720
4169,Snow Flower and the Secret Fan,6000000,1348205,11348205,12696410,6696410
118,Snow White and the Huntsman,170000000,155136755,401021746,556158501,386158501
5117,Snow White and the Seven Dwarfs,1488000,184925486,184925486,369850972,368362972
1178,Snowden,50000000,21587519,35380918,56968437,6968437
1526,Snowpiercer,40000000,4563029,88069880,92632909,52632909
11,Solo: A Star Wars Story,275000000,213767512,393151347,606918859,331918859
4316,Solomon and Sheba,5000000,11000000,11014961,22014961,17014961
4781,Some Like it Hot,2883848,25000000,25019542,50019542,47135694
2378,Someone Like You,23000000,27338033,38684906,66022939,43022939
1671,Something Borrowed,35000000,39046489,65084116,104130605,69130605
552,Something's Gotta Give,80000000,124685242,266685242,391370484,311370484
4041,Somewhere,7000000,1785645,17023121,18808766,11808766
4246,Somewhere in Time,5100000,9709597,9709597,19419194,14319194
2410,Son of God,22000000,59700064,70949793,130649857,108649857
4931,Son of Rambow: A Home Movie,2000000,1785505,11263263,13048768,11048768
5023,Songcatcher,1800000,3050934,3050934,6101868,4301868
2452,Sorcerer,21600000,12000000,12005968,24005968,2405968
3405,Sorority Boys,12000000,10198766,12516222,22714988,10714988
3322,Sorority Row,12500000,11965282,26735797,38701079,26201079
4653,Sorry to Bother You,3200000,17493096,18285560,35778656,32578656
3953,Soul Food,7500000,43492389,43492389,86984778,79484778
4402,Soul Kitchen,4900000,276901,23347461,23624362,18724362
2957,Soul Plane,16000000,13922211,14553807,28476018,12476018
2782,Soul Surfer,18000000,43853424,47158652,91012076,73012076
5667,Sound of My Voice,135000,408015,429448,837463,702463
1795,Source Code,32000000,54712227,140428499,195140726,163140726
2461,"South Park: Bigger, Longer & Uncut",21000000,52037603,52037603,104075206,83075206
1891,Southpaw,30000000,52421953,94156456,146578409,116578409
1600,Space Chimps,37000000,30105968,67029956,97135924,60135924
787,Space Cowboys,65000000,90454043,128874043,219328086,154328086
566,Space Jam,80000000,90463534,250200000,340663534,260663534
2400,Spaceballs,22700000,38119483,38119483,76238966,53538966
4685,Spaced Invaders,3000000,15000000,15000000,30000000,27000000
657,Spanglish,75000000,42044321,54344321,96388642,21388642
3595,Sparkle,10000000,24397469,24660323,49057792,39057792
3373,Spartacus,12000000,30000000,60000000,90000000,78000000
1429,Spawn,40000000,54979992,87949859,142929851,102929851
1650,Species,35000000,60054449,113354449,173408898,138408898
9,Spectre,300000000,200074175,879620923,1079695098,779695098
1842,Speed,30000000,121248145,283200000,404448145,374448145
337,Speed 2: Cruise Control,110000000,48097081,150468000,198565081,88565081
298,Speed Racer,120000000,43945766,93394462,137340228,17340228
5073,Spellbound,1500000,7000000,7000000,14000000,12500000
678,Sphere,73000000,37068294,50168294,87236588,14236588
3679,Sphinx,10000000,2000000,11400000,13400000,3400000
2234,Spice World,25000000,29342592,56042592,85385184,60385184
218,Spider-Man,139000000,403706375,821706375,1225412750,1086412750
49,Spider-Man 2,200000000,373524485,795110670,1168635155,968635155
15,Spider-Man 3,258000000,336530303,894860230,1231390533,973390533
98,Spider-Man: Homecoming,175000000,334201140,880166350,1214367490,1039367490
443,Spider-Man: Into The Spider-Verse 3D,90000000,190173195,375381768,565554963,475554963
574,Spirit: Stallion of the Cimarron,80000000,73215310,106515310,179730620,99730620
3864,Splash,8000000,62599495,62599495,125198990,117198990
1962,Splice,30000000,17010170,28542494,45552664,15552664
4249,Split,5000000,138141585,278964806,417106391,412106391
4031,Split Second,7000000,5430822,5430822,10861644,3861644
1858,SpongeBob SquarePants: The Movie,30000000,85416609,142051255,227467864,197467864
2533,Spotlight,20000000,45055776,92088460,137144236,117144236
4302,Spring Breakers,5000000,14124286,31149251,45273537,40273537
466,Spy Game,90000000,62362560,143049560,205412120,115412120
2793,Spy Hard,18000000,26936265,26936265,53872530,35872530
1634,Spy Kids,35000000,112692062,197692062,310384124,275384124
1556,Spy Kids 2: The Island of Lost Dreams,38000000,85846296,119721296,205567592,167567592
1386,Spy Kids 3-D: Game Over,40000000,111760631,167851995,279612626,239612626
2099,Spy Kids: All the Time in the World,27000000,38536376,80681183,119217559,92217559
782,Spy!,65000000,110825712,232585748,343411460,278411460
3562,St. Elmoâs Fire,10000000,37800000,37800000,75600000,65600000
3463,St. Trinianâs,11400000,15000,29830239,29845239,18445239
3260,St. Vincent,13000000,44137712,54837234,98974946,85974946
3867,Stand by Me,8000000,52287414,52287414,104574828,96574828
206,Star Trek,140000000,257730019,386839614,644569633,504569633
78,Star Trek Beyond,185000000,158848340,335802233,494650573,309650573
3347,Star Trek II: The Wrath of Khan,12000000,78912963,95800000,174712963,162712963
2769,Star Trek III: The Search for Spock,18000000,76471046,87000000,163471046,145471046
2331,Star Trek IV: The Voyage Home,24000000,109713132,133000000,242713132,218713132
67,Star Trek Into Darkness,190000000,228778661,467381584,696160245,506160245
1892,Star Trek V: The Final Frontier,30000000,52210049,70200000,122410049,92410049
2091,Star Trek VI: The Undiscovered Country,27000000,74888996,96900000,171788996,144788996
1245,Star Trek: First Contact,46000000,92027888,150000000,242027888,196027888
1557,Star Trek: Generations,38000000,75671262,120000000,195671262,157671262
715,Star Trek: Insurrection,70000000,70187658,117800000,187987658,117987658
908,Star Trek: Nemesis,60000000,43254409,67312826,110567235,50567235
1637,Star Trek: The Motion Picture,35000000,82258456,139000000,221258456,186258456
303,Star Wars Ep. I: The Phantom Menace,115000000,474544677,1027044677,1501589354,1386589354
305,Star Wars Ep. II: Attack of the Clones,115000000,310676740,656695615,967372355,852372355
304,Star Wars Ep. III: Revenge of the Sith,115000000,380270577,848998877,1229269454,1114269454
3464,Star Wars Ep. IV: A New Hope,11000000,460998007,786598007,1247596014,1236596014
2367,Star Wars Ep. V: The Empire Strikes Back,23000000,290271960,534161334,824433294,801433294
1783,Star Wars Ep. VI: Return of the Jedi,32500000,309205079,572705079,881910158,849410158
5,Star Wars Ep. VII: The Force Awakens,306000000,936662225,2053311220,2989973445,2683973445
4,Star Wars Ep. VIII: The Last Jedi,317000000,620181382,1316721747,1936903129,1619903129
3831,Star Wars: The Clone Wars,8500000,35161554,68695443,103856997,95356997
727,Stardust,70000000,38634938,137022245,175657183,105657183
1006,Stargate,55000000,71565669,196565669,268131338,213131338
390,Starship Troopers,100000000,54768952,121100000,175868952,75868952
863,Starsky & Hutch,60000000,88200225,170200225,258400450,198400450
4434,State Fair,4500000,3500000,3500000,7000000,2500000
914,State of Play,60000000,37017955,88832210,125850165,65850165
2584,Stay Alive,20000000,23086480,23187506,46273986,26273986
2271,Stealing Harvard,25000000,13973532,13973532,27947064,2947064
784,Step Brothers,65000000,100468793,128468793,228937586,163937586
3353,Step Up,12000000,65328121,110989157,176317278,164317278
2858,Step Up 2 the Streets,17500000,58017783,148586910,206604693,189104693
1908,Step Up 3D,30000000,42400223,165889117,208289340,178289340
1773,Step Up Revolution,33000000,35074677,165552290,200626967,167626967
1102,Stepmom,50000000,91137662,159745279,250882941,200882941
1959,Steve Jobs,30000000,17766658,35579007,53345665,23345665
2571,Stick It,20000000,26910736,30399714,57310450,37310450
1796,Stigmata,32000000,50041732,89441732,139483464,107483464
4291,Still Alice,5000000,18656400,41699612,60356012,55356012
3385,Stir of Echoes,12000000,21133087,21133087,42266174,30266174
3428,Stoker,12000000,1703125,12034913,13738038,1738038
3178,Stomp the Yard,14000000,61356221,75525718,136881939,122881939
714,Storks,70000000,72679278,183353431,256032709,186032709
2034,Straight Outta Compton,28000000,161197785,202182981,363380766,335380766
5493,Straight out of Brooklyn,450000,2712293,2712293,5424586,4974586
1912,Stranger Than Fiction,30000000,40435190,53572822,94008012,64008012
5161,Strangers on a Train,1200000,7000000,7000000,14000000,12800000
4927,Strangers with Candy,2000000,2072645,2077844,4150489,2150489
1682,Street Fighter,35000000,33423000,99423000,132846000,97846000
2574,Street Kings,20000000,26418667,65457811,91876478,71876478
3539,Stripes,10000000,85300000,85300000,170600000,160600000
1159,Striptease,50000000,33109743,113309743,146419486,96419486
348,Stuart Little,105000000,140015224,298815224,438830448,333830448
294,Stuart Little 2,120000000,64956806,166000000,230956806,110956806
1029,Stuck On You,55000000,33832741,63537164,97369905,42369905
5008,Submarine,1900000,467602,4581937,5049539,3149539
4945,Subway,2000000,390659,1663296,2053955,53955
661,Sucker Punch,75000000,36392502,89758389,126150891,51150891
3215,Suffragette,14000000,4702420,34044909,38747329,24747329
3607,Sugar Hill,10000000,18272447,18423914,36696361,26696361
5581,Sugar Town,250000,178095,178095,356190,106190
99,Suicide Squad,175000000,325100054,746059887,1071159941,896159941
5054,Sukkar banat,1600000,1060591,14253760,15314351,13714351
849,Sully,60000000,125070033,238524556,363594589,303594589
3499,Sultan,11000000,5599781,72989781,78589562,67589562
2892,Summer Catch,17000000,19693891,19693891,39387782,22387782
2431,Summer of Sam,22000000,19288130,19288130,38576260,16576260
5495,Sunday,450000,410919,450349,861268,411268
4313,Sunshine Cleaning,5000000,12062558,17329337,29391895,24391895
4209,Sunshine State,5600000,3064356,3281898,6346254,746254
1092,Super 8,50000000,127004179,257972745,384976924,334976924
5709,Super Size Me,65000,11529368,22233808,33763176,33698176
5158,Super Troopers,1200000,18492362,23046142,41538504,40338504
2856,Superbad,17500000,121463226,169955142,291418368,273918368
2948,Superfly,16000000,20537137,20723581,41260718,25260718
1697,Superhero Movie,35000000,26638520,73026302,99664822,64664822
988,Superman,55000000,134218018,300200000,434418018,379418018
1048,Superman II,54000000,108185706,108185706,216371412,162371412
1545,Superman III,39000000,59950623,59950623,119901246,80901246
2897,Superman IV: The Quest for Peace,17000000,11227824,11227824,22455648,5455648
23,Superman Returns,232000000,200120000,374085065,574205065,342205065
3188,Superstar,14000000,30628981,30628981,61257962,47257962
